address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강서구 마곡동 776-4,CS2,편의점,"가정,생활 > 편의점 > CU",,346898579,02-2659-9773,CU 마곡엠코점,http://place.map.kakao.com/346898579,서울 강서구 강서로 471,126.8407599313978,37.56746566567372
서울 강서구 화곡동 348-9,CS2,편의점,"가정,생활 > 편의점 > CU",,1770015815,,CU 까치산역점,http://place.map.kakao.com/1770015815,서울 강서구 강서로 61,126.845655235214,37.5330009001249
서울 강서구 화곡동 161-2,CS2,편의점,"가정,생활 > 편의점 > CU",,16823347,02-2606-5552,CU 강서태양점,http://place.map.kakao.com/16823347,서울 강서구 강서로18길 146,126.853634262569,37.5350905670157
서울 강서구 화곡동 1170,CS2,편의점,"가정,생활 > 편의점 > CU",,7994432,1577-8007,CU 강서해링턴점,http://place.map.kakao.com/7994432,서울 강서구 강서로 231,126.83621937416031,37.545952667596666
서울 강서구 가양동 1458,CS2,편의점,"가정,생활 > 편의점 > CU",,164338606,02-3662-0978,CU 가양시크릿점,http://place.map.kakao.com/164338606,서울 강서구 강서로 506,126.84283851118633,37.57051471405833
서울 강서구 화곡동 914-3,CS2,편의점,"가정,생활 > 편의점 > CU",,17042013,02-2608-9595,CU 강서스카이점,http://place.map.kakao.com/17042013,서울 강서구 강서로5나길 50,126.84570147857279,37.52867705887162
서울 강서구 화곡동 421-16,CS2,편의점,"가정,생활 > 편의점 > CU",,15508162,02-2691-8288,CU 화곡행복점,http://place.map.kakao.com/15508162,서울 강서구 강서로17길 89,126.84078266265679,37.532309671289006
서울 강서구 화곡동 926-7,CS2,편의점,"가정,생활 > 편의점 > CU",,1234291814,02-2603-4064,CU 뉴화곡우리마을점,http://place.map.kakao.com/1234291814,서울 강서구 강서로7길 107,126.84158863295775,37.52889866606049
서울 강서구 화곡동 878-10,CS2,편의점,"가정,생활 > 편의점 > CU",,1404652029,,CU 화곡행운점,http://place.map.kakao.com/1404652029,서울 강서구 강서로8길 47,126.850616547433,37.5300880383998
서울 강서구 등촌동 695-1,CS2,편의점,"가정,생활 > 편의점 > CU",,1456962646,02-2659-1625,CU 등촌5단지점,http://place.map.kakao.com/1456962646,서울 강서구 강서로62길 98,126.845007570453,37.5616662052104
서울 강서구 화곡동 934-3,CS2,편의점,"가정,생활 > 편의점 > CU",,44319524,,CU 뉴화곡에스점,http://place.map.kakao.com/44319524,서울 강서구 강서로5나길 121,126.841394527139,37.5281361588107
서울 강서구 화곡동 1051-1,CS2,편의점,"가정,생활 > 편의점 > CU",,448318900,,CU 강서엠파이어시티점,http://place.map.kakao.com/448318900,서울 강서구 강서로 187,126.8390008462159,37.54278317632572
서울 강서구 내발산동 723-9,CS2,편의점,"가정,생활 > 편의점 > CU",,1448498466,,CU 우장산역점,http://place.map.kakao.com/1448498466,서울 강서구 강서로 251,126.836032367669,37.5481535461125
서울 강서구 화곡동 392-59,CS2,편의점,"가정,생활 > 편의점 > CU",,16623918,02-2696-9423,CU 까치산시장점,http://place.map.kakao.com/16623918,서울 강서구 강서로12길 39,126.84909416539477,37.53212867119613
서울 강서구 화곡동 398-19,CS2,편의점,"가정,생활 > 편의점 > CU",,1713885357,,CU 화곡수정점,http://place.map.kakao.com/1713885357,서울 강서구 강서로18다길 8,126.847791471515,37.5345894329576
서울 강서구 등촌동 524-13,CS2,편의점,"가정,생활 > 편의점 > CU",,629413673,,CU 등촌능안점,http://place.map.kakao.com/629413673,서울 강서구 등촌로39길 30,126.860859660993,37.5459869758599
서울 강서구 등촌동 676,CS2,편의점,"가정,생활 > 편의점 > CU",,2006654857,,CU 강서등촌점,http://place.map.kakao.com/2006654857,서울 강서구 등촌로53길 39,126.860444487924,37.5495643494709
서울 강서구 화곡동 504-141,CS2,편의점,"가정,생활 > 편의점 > CU",,16091138,02-2652-6670,CU 강서한아름점,http://place.map.kakao.com/16091138,서울 강서구 등촌로13길 28,126.861734269295,37.5356301163699
