address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 노원구 공릉동 236-8,CS2,편의점,"가정,생활 > 편의점 > CU",,1684790078,02-978-0147,CU 공릉그랜드점,http://place.map.kakao.com/1684790078,서울 노원구 공릉로42길 25,127.081134034408,37.6243445665872
서울 노원구 하계동 64-9,CS2,편의점,"가정,생활 > 편의점 > CU",,19207843,02-948-1018,CU 하계대진점,http://place.map.kakao.com/19207843,서울 노원구 공릉로58길 148,127.076234975641,37.6367417961084
서울 노원구 하계동 170-41,CS2,편의점,"가정,생활 > 편의점 > CU",,1735179811,02-954-5834,CU 하계을지병원점,http://place.map.kakao.com/1735179811,서울 노원구 공릉로 321,127.07088172123,37.6355558332671
서울 노원구 공릉동 351-12,CS2,편의점,"가정,생활 > 편의점 > CU",,1287277917,,CU 공릉철길공원점,http://place.map.kakao.com/1287277917,서울 노원구 공릉로37길 17,127.078432412959,37.6233156641729
서울 노원구 공릉동 408-4,CS2,편의점,"가정,생활 > 편의점 > CU",,16560706,,CU 공릉건설점,http://place.map.kakao.com/16560706,서울 노원구 공릉로 187,127.07914246129376,37.62633890180142
서울 노원구 공릉동 653-6,CS2,편의점,"가정,생활 > 편의점 > CU",,22732396,02-949-5213,CU 공릉화랑점,http://place.map.kakao.com/22732396,서울 노원구 공릉로20길 12,127.07903538715,37.6193617293911
서울 노원구 공릉동 437-2,CS2,편의점,"가정,생활 > 편의점 > CU",,26775767,02-972-3911,CU 서울과기대점,http://place.map.kakao.com/26775767,서울 노원구 공릉로 229,127.076395326824,37.6295842632136
서울 노원구 공릉동 172,CS2,편의점,"가정,생활 > 편의점 > CU",,22874999,02-979-3937,CU 서울테크노파크점,http://place.map.kakao.com/22874999,서울 노원구 공릉로 232,127.080587743724,37.6345657271515
서울 노원구 공릉동 189,CS2,편의점,"가정,생활 > 편의점 > CU",,634409319,02-977-3937,CU 서울과학기술대2관점,http://place.map.kakao.com/634409319,서울 노원구 공릉로 232,127.079380512747,37.6307517724805
서울 노원구 공릉동 172,CS2,편의점,"가정,생활 > 편의점 > CU",,17045672,02-979-3938,CU 서울과학기술대1관점,http://place.map.kakao.com/17045672,서울 노원구 공릉로 232,127.0767240604539,37.63419169098495
서울 노원구 하계동 78-1,CS2,편의점,"가정,생활 > 편의점 > CU",,994497207,02-977-5818,CU 과학기술대생활관점,http://place.map.kakao.com/994497207,서울 노원구 공릉로58길 130,127.07599243746971,37.635547246341524
서울 노원구 월계동 290-1,CS2,편의점,"가정,생활 > 편의점 > CU",,95478776,02-916-7778,CU 월계역점,http://place.map.kakao.com/95478776,서울 노원구 광운로22길 39,127.058845296202,37.6298177655118
서울 노원구 월계동 392-44,CS2,편의점,"가정,생활 > 편의점 > CU",,19204783,,CU 광운대원룸점,http://place.map.kakao.com/19204783,서울 노원구 광운로15길 23,127.05793937823357,37.62153814533509
서울 노원구 월계동 466,CS2,편의점,"가정,생활 > 편의점 > CU",,609499710,053-857-9427,CU 광운대기숙사점,http://place.map.kakao.com/609499710,서울 노원구 광운로 21,127.05684048891202,37.62135848229369
서울 노원구 월계동 505-2,CS2,편의점,"가정,생활 > 편의점 > CU",,17042089,02-909-8384,CU 광운대점,http://place.map.kakao.com/17042089,서울 노원구 광운로1길 60,127.05498776159637,37.62039350156694
서울 노원구 상계동 668,CS2,편의점,"가정,생활 > 편의점 > CU",,16555593,02-935-7993,CU 상계소영점,http://place.map.kakao.com/16555593,서울 노원구 노원로 560,127.056558334539,37.6615731541366
서울 노원구 상계동 1279,CS2,편의점,"가정,생활 > 편의점 > CU",,1424802941,,CU 상계하이츠점,http://place.map.kakao.com/1424802941,서울 노원구 노원로28길 9,127.068468718681,37.6530291376831
서울 노원구 공릉동 89-1,CS2,편의점,"가정,생활 > 편의점 > CU",,17056091,,CU 화랑대역점,http://place.map.kakao.com/17056091,서울 노원구 노원로1길 67,127.083789844705,37.6208252568708
서울 노원구 하계동 288,CS2,편의점,"가정,생활 > 편의점 > CU",,988251220,,CU 하계노원로점,http://place.map.kakao.com/988251220,서울 노원구 노원로 314,127.0710393394984,37.645220598855694
서울 노원구 하계동 256-13,CS2,편의점,"가정,생활 > 편의점 > CU",,17057603,02-977-2590,CU 하계한신점,http://place.map.kakao.com/17057603,서울 노원구 노원로 248,127.073754695152,37.6399580862938
서울 노원구 상계동 617,CS2,편의점,"가정,생활 > 편의점 > CU",,19206001,02-952-9504,CU 노원스타점,http://place.map.kakao.com/19206001,서울 노원구 노해로79길 6-19,127.062315130976,37.6554507854742
서울 노원구 상계동 107-984,CS2,편의점,"가정,생활 > 편의점 > CU",,19204854,02-938-3579,CU 상계현대점,http://place.map.kakao.com/19204854,서울 노원구 덕릉로118길 17,127.0800398999686,37.667758305329905
서울 노원구 상계동 1289,CS2,편의점,"가정,생활 > 편의점 > CU",,1304583300,,CU 상계불암점,http://place.map.kakao.com/1304583300,서울 노원구 덕릉로 730,127.07626712952403,37.66264954194441
서울 노원구 중계동 161-2,CS2,편의점,"가정,생활 > 편의점 > CU",,1146292220,,CU 중계4동점,http://place.map.kakao.com/1146292220,서울 노원구 덕릉로84길 33,127.077110879459,37.6598757731296
서울 노원구 상계동 68-104,CS2,편의점,"가정,생활 > 편의점 > CU",,1016800307,02-937-3924,CU 당고개본점,http://place.map.kakao.com/1016800307,서울 노원구 덕릉로126길 30,127.08285341092002,37.671106206061495
서울 노원구 중계동 592,CS2,편의점,"가정,생활 > 편의점 > CU",,1815760454,070-8886-0004,CU 중계벽산점,http://place.map.kakao.com/1815760454,서울 노원구 덕릉로77길 5,127.073495118476,37.6547893357928
서울 노원구 상계동 766-1,CS2,편의점,"가정,생활 > 편의점 > CU",,443747710,,CU 상계미도점,http://place.map.kakao.com/443747710,서울 노원구 덕릉로 459-14,127.06033773516131,37.64580048409821
서울 노원구 상계동 763-6,CS2,편의점,"가정,생활 > 편의점 > CU",,13104144,070-4109-3572,CU 상계주공점,http://place.map.kakao.com/13104144,서울 노원구 동일로 1345,127.06172029555277,37.64875048972198
서울 노원구 중계동 503,CS2,편의점,"가정,생활 > 편의점 > CU",,19635544,02-971-1512,CU 중계그린점,http://place.map.kakao.com/19635544,서울 노원구 동일로 1279,127.064054358224,37.6432145029767
서울 노원구 공릉동 557-22,CS2,편의점,"가정,생활 > 편의점 > CU",,24893321,02-971-2143,CU 공릉과기대점,http://place.map.kakao.com/24893321,서울 노원구 동일로184길 56,127.07673443149753,37.62444481625889
서울 노원구 공릉동 593-1,CS2,편의점,"가정,생활 > 편의점 > CU",,16850159,02-948-9220,CU 노원공릉점,http://place.map.kakao.com/16850159,서울 노원구 동일로178길 18,127.075688987269,37.6212019378061
서울 노원구 상계동 730-3,CS2,편의점,"가정,생활 > 편의점 > CU",,688565760,,CU 상계3단지점,http://place.map.kakao.com/688565760,서울 노원구 동일로 1379,127.060879723574,37.6518007539539
서울 노원구 공릉동 392-24,CS2,편의점,"가정,생활 > 편의점 > CU",,1512637079,02-975-8510,CU 공릉플러스점,http://place.map.kakao.com/1512637079,서울 노원구 동일로192길 66,127.076487683498,37.626848808966
서울 노원구 상계동 749-5,CS2,편의점,"가정,생활 > 편의점 > CU",,1812340321,,CU 상계주공4단지점,http://place.map.kakao.com/1812340321,서울 노원구 동일로 1356,127.062107619353,37.6498557927661
서울 노원구 상계동 1101-32,CS2,편의점,"가정,생활 > 편의점 > CU",,305880744,,CU 상계최강점,http://place.map.kakao.com/305880744,서울 노원구 동일로239길 54,127.052093415169,37.6751908242002
서울 노원구 공릉동 395-8,CS2,편의점,"가정,생활 > 편의점 > CU",,16557767,02-977-2253,CU 공릉사거리점,http://place.map.kakao.com/16557767,서울 노원구 동일로 1066,127.07343651804338,37.62519473388764
서울 노원구 공릉동 670-20,CS2,편의점,"가정,생활 > 편의점 > CU",,611867256,,CU 태릉엠코점,http://place.map.kakao.com/611867256,서울 노원구 동일로 986,127.07627085936863,37.61864095646193
서울 노원구 공릉동 366-2,CS2,편의점,"가정,생활 > 편의점 > CU",,170679773,,CU 뉴공릉굴다리점,http://place.map.kakao.com/170679773,서울 노원구 동일로198길 36,127.07363175983178,37.629047230427204
서울 노원구 상계동 1269,CS2,편의점,"가정,생활 > 편의점 > CU",,1087192242,,CU 수락백억점,http://place.map.kakao.com/1087192242,서울 노원구 동일로248길 16,127.056289816849,37.6796928894081
서울 노원구 공릉동 750,CS2,편의점,"가정,생활 > 편의점 > CU",,19207908,070-8648-0400,CU 공릉녹주점,http://place.map.kakao.com/19207908,서울 노원구 동일로177길 29,127.07284978016793,37.62060006319697
서울 노원구 공릉동 323-2,CS2,편의점,"가정,생활 > 편의점 > CU",,740792662,,CU 공릉미르점,http://place.map.kakao.com/740792662,서울 노원구 동일로197길 11,127.070757294514,37.6285948921128
서울 노원구 공릉동 568-1,CS2,편의점,"가정,생활 > 편의점 > CU",,19205401,,CU 공릉마중점,http://place.map.kakao.com/19205401,서울 노원구 동일로183길 9,127.07311836591225,37.62304697858102
서울 노원구 월계동 922,CS2,편의점,"가정,생활 > 편의점 > CU",,719575551,,CU 월계서광점,http://place.map.kakao.com/719575551,서울 노원구 마들로1길 44,127.06407837960263,37.62368833081725
서울 노원구 월계동 18-1,CS2,편의점,"가정,생활 > 편의점 > CU",,1603182805,,CU 월계그랑빌점,http://place.map.kakao.com/1603182805,서울 노원구 마들로 31,127.0685965532958,37.615818366701
서울 노원구 월계동 12,CS2,편의점,"가정,생활 > 편의점 > CU",,669065318,02-973-6939,CU 월계삼호점,http://place.map.kakao.com/669065318,서울 노원구 마들로 127,127.06536787315697,37.626737463901456
서울 노원구 상계동 706-2,CS2,편의점,"가정,생활 > 편의점 > CU",,1591870797,02-930-5103,CU 노원보미점,http://place.map.kakao.com/1591870797,서울 노원구 상계로 32,127.058712223571,37.6550607064147
서울 노원구 상계동 387-213,CS2,편의점,"가정,생활 > 편의점 > CU",,714260762,02-936-3924,CU 상계청솔점,http://place.map.kakao.com/714260762,서울 노원구 상계로26길 13,127.070989242512,37.658062336078
서울 노원구 상계동 591-25,CS2,편의점,"가정,생활 > 편의점 > CU",,16053341,02-935-6527,CU 노원주공점,http://place.map.kakao.com/16053341,서울 노원구 상계로1길 38,127.061718651862,37.6577179698483
서울 노원구 상계동 172,CS2,편의점,"가정,생활 > 편의점 > CU",,921668085,,CU 상계대림점,http://place.map.kakao.com/921668085,서울 노원구 상계로 193-14,127.07421635988656,37.66212377613989
서울 노원구 상계동 364-30,CS2,편의점,"가정,생활 > 편의점 > CU",,1281745965,,CU 노원나래점,http://place.map.kakao.com/1281745965,서울 노원구 상계로7길 40,127.0644618895462,37.65851657450028
서울 노원구 상계동 389-50,CS2,편의점,"가정,생활 > 편의점 > CU",,16328882,070-4111-1017,CU 상계아카시아점,http://place.map.kakao.com/16328882,서울 노원구 상계로9가길 23,127.067155057435,37.6590232257002
서울 노원구 상계동 111-475,CS2,편의점,"가정,생활 > 편의점 > CU",,14935578,02-936-0964,CU 당고개역점,http://place.map.kakao.com/14935578,서울 노원구 상계로 309-1,127.07999222965822,37.670864916680856
서울 노원구 상계동 177-21,CS2,편의점,"가정,생활 > 편의점 > CU",,631218996,02-933-3575,CU 상계2동점,http://place.map.kakao.com/631218996,서울 노원구 상계로12길 14,127.068422690073,37.657206117987
서울 노원구 월계동 429-6,CS2,편의점,"가정,생활 > 편의점 > CU",,27386861,02-909-3031,CU 광운대동문점,http://place.map.kakao.com/27386861,서울 노원구 석계로13길 23,127.06156076676,37.6202082560676
서울 노원구 중계동 504-1,CS2,편의점,"가정,생활 > 편의점 > CU",,1568189559,,CU 중계매일점,http://place.map.kakao.com/1568189559,서울 노원구 섬밭로 287,127.06295143035139,37.641330237655815
서울 노원구 중계동 505,CS2,편의점,"가정,생활 > 편의점 > CU",,1028675395,,CU 중계상아점,http://place.map.kakao.com/1028675395,서울 노원구 섬밭로 263,127.06388769643443,37.63912682719955
서울 노원구 하계동 270,CS2,편의점,"가정,생활 > 편의점 > CU",,1243244124,02-974-7700,CU 하계문화점,http://place.map.kakao.com/1243244124,서울 노원구 섬밭로 232,127.06572662446172,37.63663008898018
서울 노원구 월계동 320-11,CS2,편의점,"가정,생활 > 편의점 > CU",,2007628178,,CU 월계사슴점,http://place.map.kakao.com/2007628178,서울 노원구 월계로55길 3,127.060555227742,37.63176303007208
서울 노원구 월계동 947,CS2,편의점,"가정,생활 > 편의점 > CU",,27386895,02-999-6266,CU 월계롯데점,http://place.map.kakao.com/27386895,서울 노원구 월계로45길 21,127.05060841112984,37.6266852522124
서울 노원구 월계동 534-209,CS2,편의점,"가정,생활 > 편의점 > CU",,19729898,02-910-8605,CU 노원월계점,http://place.map.kakao.com/19729898,서울 노원구 월계로44가길 19,127.053271663575,37.623524318881
서울 노원구 중계동 359-7,CS2,편의점,"가정,생활 > 편의점 > CU",,118494226,02-951-3100,CU 중계주공5단지점,http://place.map.kakao.com/118494226,서울 노원구 중계로 230,127.07495616822514,37.651709759350766
서울 노원구 중계동 55-21,CS2,편의점,"가정,생활 > 편의점 > CU",,15572523,02-938-5540,CU 노원중계점,http://place.map.kakao.com/15572523,서울 노원구 중계로12가길 23,127.082809701923,37.6480861603677
서울 노원구 중계동 90-15,CS2,편의점,"가정,생활 > 편의점 > CU",,16822286,02-952-6360,CU 중계한아름점,http://place.map.kakao.com/16822286,서울 노원구 중계로14사길 4,127.082743856795,37.6500179142879
