address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 서초구 양재동 85,CS2,편의점,"가정,생활 > 편의점 > CU",,1041943442,,CU 연인의거리점,http://place.map.kakao.com/1041943442,서울 서초구 논현로27길 15,127.0425593218403,37.48060874675568
서울 서초구 양재동 89,CS2,편의점,"가정,생활 > 편의점 > CU",,991727070,,CU 양재에덴동산점,http://place.map.kakao.com/991727070,서울 서초구 논현로27길 47,127.04165426729,37.4795792158828
서울 서초구 양재동 19-13,CS2,편의점,"가정,생활 > 편의점 > CU",,1309435473,02-576-8719,CU 양재은행점,http://place.map.kakao.com/1309435473,서울 서초구 논현로31길 44,127.04110330674361,37.480978675934885
서울 서초구 양재동 392-14,CS2,편의점,"가정,생활 > 편의점 > CU",,1706786913,,CU 양재소나무점,http://place.map.kakao.com/1706786913,서울 서초구 논현로7길 16,127.048231156595,37.4729425800149
서울 서초구 방배동 471-4,CS2,편의점,"가정,생활 > 편의점 > CU",,90871823,02-522-0998,CU 방배리치빌점,http://place.map.kakao.com/90871823,서울 서초구 도구로1길 60,126.98631112989658,37.47796665146666
서울 서초구 방배동 863-4,CS2,편의점,"가정,생활 > 편의점 > CU",,16081253,02-595-2141,CU 방배드림점,http://place.map.kakao.com/16081253,서울 서초구 도구로 123-2,126.9858435161348,37.48762090511647
서울 서초구 방배동 970-19,CS2,편의점,"가정,생활 > 편의점 > CU",,16329029,02-581-0944,CU 방배공원점,http://place.map.kakao.com/16329029,서울 서초구 도구로 63,126.987386693904,37.4823276554915
서울 서초구 반포동 85-9,CS2,편의점,"가정,생활 > 편의점 > CU",,1817458573,02-535-4752,CU 서래마을점,http://place.map.kakao.com/1817458573,서울 서초구 동광로 163,127.00001809311135,37.49491000259597
서울 서초구 방배동 822-21,CS2,편의점,"가정,생활 > 편의점 > CU",,268989481,,CU 방배파크점,http://place.map.kakao.com/268989481,서울 서초구 동광로10길 21-7,126.986381274411,37.4901518992897
서울 서초구 방배동 1457,CS2,편의점,"가정,생활 > 편의점 > CU",,16736578,02-537-4764,CU 방배이수역점,http://place.map.kakao.com/16736578,서울 서초구 동광로12가길 26,126.983536903287,37.4874629298143
서울 서초구 방배동 788-58,CS2,편의점,"가정,생활 > 편의점 > CU",,1888856516,,CU 방배서문점,http://place.map.kakao.com/1888856516,서울 서초구 동광로 21,126.985334040334,37.490978898871546
서울 서초구 양재동 290,CS2,편의점,"가정,생활 > 편의점 > CU",,16081559,02-529-0776,CU 양재강남점,http://place.map.kakao.com/16081559,서울 서초구 동산로15길 6,127.04665400033313,37.472741386963634
서울 서초구 양재동 263-10,CS2,편의점,"가정,생활 > 편의점 > CU",,24893320,02-578-3157,CU 양재2동점,http://place.map.kakao.com/24893320,서울 서초구 마방로6길 7-39,127.043385618462,37.4763953265352
서울 서초구 양재동 218,CS2,편의점,"가정,생활 > 편의점 > CU",,936888050,,CU 양재주암점,http://place.map.kakao.com/936888050,서울 서초구 매헌로 27,127.034946891139,37.4634506002648
서울 서초구 서초동 1488-9,CS2,편의점,"가정,생활 > 편의점 > CU",,16061455,02-525-0790,CU 서초상문점,http://place.map.kakao.com/16061455,서울 서초구 명달로 46,127.005196323962,37.4815965952772
서울 서초구 방배동 1023-1,CS2,편의점,"가정,생활 > 편의점 > CU",,765791847,,CU 방배백석점,http://place.map.kakao.com/765791847,서울 서초구 방배로 42,126.99985076422911,37.47862518121728
서울 서초구 방배동 777-17,CS2,편의점,"가정,생활 > 편의점 > CU",,1537428286,,CU 서초방배점,http://place.map.kakao.com/1537428286,서울 서초구 방배로37길 50,126.987102209779,37.4929532122366
서울 서초구 방배동 769-2,CS2,편의점,"가정,생활 > 편의점 > CU",,13574650,,CU 방배지인점,http://place.map.kakao.com/13574650,서울 서초구 방배로43길 37,126.986425564456,37.4953453100489
서울 서초구 방배동 936-8,CS2,편의점,"가정,생활 > 편의점 > CU",,1999485066,02-521-2758,CU 내방조은점,http://place.map.kakao.com/1999485066,서울 서초구 방배로23길 8,126.9936330694442,37.48650072760546
서울 서초구 방배동 33-1,CS2,편의점,"가정,생활 > 편의점 > CU",,1017977893,02-593-5714,CU 방배사이길점,http://place.map.kakao.com/1017977893,서울 서초구 방배로42길 35,126.9903179664241,37.49457983731672
서울 서초구 방배동 924-10,CS2,편의점,"가정,생활 > 편의점 > CU",,9620551,,CU 대화훼미리점,http://place.map.kakao.com/9620551,서울 서초구 방배로13길 10,126.99586637450841,37.483106728023564
서울 서초구 방배동 928-30,CS2,편의점,"가정,생활 > 편의점 > CU",,16707860,02-6081-1176,CU 방배원점,http://place.map.kakao.com/16707860,서울 서초구 방배로15길 38,126.993690973515,37.4836616532261
서울 서초구 서초동 1709-1,CS2,편의점,"가정,생활 > 편의점 > CU",,27168666,010-9547-7411,CU 서초법원로점,http://place.map.kakao.com/27168666,서울 서초구 법원로3길 23,127.008105503521,37.4929635493077
서울 서초구 서초동 1714-11,CS2,편의점,"가정,생활 > 편의점 > CU",,1794234530,,CU 서초법원점,http://place.map.kakao.com/1794234530,서울 서초구 법원로2길 17-8,127.012580339595,37.4947498545454
서울 서초구 반포동 92-10,CS2,편의점,"가정,생활 > 편의점 > CU",,1556495002,,CU 서초서래마을점,http://place.map.kakao.com/1556495002,서울 서초구 서래로8길 7,126.998932452204,37.4987194537331
서울 서초구 반포동 107-64,CS2,편의점,"가정,생활 > 편의점 > CU",,19206190,,CU 반포서래타운점,http://place.map.kakao.com/19206190,서울 서초구 서래로5길 35,126.996195775995,37.4978147868879
서울 서초구 반포동 97-4,CS2,편의점,"가정,생활 > 편의점 > CU",,10107267,02-592-4911,CU 서래중앙점,http://place.map.kakao.com/10107267,서울 서초구 서래로 13,126.997973536083,37.4962218511233
서울 서초구 서초동 1355-17,CS2,편의점,"가정,생활 > 편의점 > CU",,16302603,02-584-3536,CU 서초디오빌점,http://place.map.kakao.com/16302603,서울 서초구 서운로 11,127.029184851064,37.4849881056742
서울 서초구 서초동 1321-6,CS2,편의점,"가정,생활 > 편의점 > CU",,1238417867,02-3471-3226,CU 서초동아타워점,http://place.map.kakao.com/1238417867,서울 서초구 서운로 138,127.0249857613365,37.49582728836098
서울 서초구 서초동 1311-7,CS2,편의점,"가정,생활 > 편의점 > CU",,154679258,,CU 서초써밋점,http://place.map.kakao.com/154679258,서울 서초구 서운로 207,127.02193751988392,37.501351062491025
서울 서초구 양재동 279-6,CS2,편의점,"가정,생활 > 편의점 > CU",,1671101097,,CU 양재언남점,http://place.map.kakao.com/1671101097,서울 서초구 언남길 79,127.04561440170097,37.475338503731344
서울 서초구 잠원동 72-3,CS2,편의점,"가정,생활 > 편의점 > CU",,1394318437,,CU 서초그린점,http://place.map.kakao.com/1394318437,서울 서초구 잠원로3길 40,127.00354575383219,37.50833583796362
서울 서초구 잠원동 56-3,CS2,편의점,"가정,생활 > 편의점 > CU",,16853093,02-3481-8354,CU 잠원한신점,http://place.map.kakao.com/16853093,서울 서초구 잠원로 148,127.009985720328,37.5162814254971
서울 서초구 잠원동 53,CS2,편의점,"가정,생활 > 편의점 > CU",,1783330382,,CU 잠원현대점,http://place.map.kakao.com/1783330382,서울 서초구 잠원로12길 6,127.013035670222,37.5185318349075
서울 서초구 반포동 20-45,CS2,편의점,"가정,생활 > 편의점 > CU",,19200890,02-537-3055,CU 자이중앙점,http://place.map.kakao.com/19200890,서울 서초구 잠원로 24,127.009916645386,37.5071632674992
서울 서초구 잠원동 65-32,CS2,편의점,"가정,생활 > 편의점 > CU",,1469945362,,CU 잠원한신공영점,http://place.map.kakao.com/1469945362,서울 서초구 잠원로 94,127.00672997578734,37.51273710651012
서울 서초구 반포동 701-21,CS2,편의점,"가정,생활 > 편의점 > CU",,540067367,,CU 반포빌리지점,http://place.map.kakao.com/540067367,서울 서초구 주흥길 81,127.018178070041,37.5095121056756
서울 서초구 우면동 721-1,CS2,편의점,"가정,생활 > 편의점 > CU",,2048909661,,CU 우면네이처점,http://place.map.kakao.com/2048909661,서울 서초구 태봉로 70,127.025587989618,37.4645035768842
서울 서초구 내곡동 411,CS2,편의점,"가정,생활 > 편의점 > CU",,26153719,02-575-9366,CU 서초포레스타점,http://place.map.kakao.com/26153719,서울 서초구 헌릉로8길 60,127.06350629343589,37.454207832669034
