address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 송파구 석촌동 255-4,CS2,편의점,"가정,생활 > 편의점 > CU",,16500949,02-425-3482,CU 가락시영점,http://place.map.kakao.com/16500949,서울 송파구 가락로 74,127.104449377863,37.4998698193926
서울 송파구 방이동 134-6,CS2,편의점,"가정,생활 > 편의점 > CU",,21876634,02-421-0181,CU 방이우량점,http://place.map.kakao.com/21876634,서울 송파구 가락로36길 7,127.11893607356,37.5098176323888
서울 송파구 송파동 139,CS2,편의점,"가정,생활 > 편의점 > CU",,19729757,,CU 송파중앙점,http://place.map.kakao.com/19729757,서울 송파구 가락로31길 33,127.113129983055,37.5087745668614
서울 송파구 석촌동 249,CS2,편의점,"가정,생활 > 편의점 > CU",,263358007,,CU 석촌고분점,http://place.map.kakao.com/263358007,서울 송파구 가락로5길 10,127.10207525439,37.500423310169
서울 송파구 석촌동 263-5,CS2,편의점,"가정,생활 > 편의점 > CU",,1802042630,02-423-5559,CU 석촌초교점,http://place.map.kakao.com/1802042630,서울 송파구 가락로11길 25,127.103756543215,37.5026130908372
서울 송파구 거여동 135-69,CS2,편의점,"가정,생활 > 편의점 > CU",,1578816551,02-407-0698,CU 거여현대점,http://place.map.kakao.com/1578816551,서울 송파구 거마로9길 18,127.14411985255,37.4968547644611
서울 송파구 거여동 42-9,CS2,편의점,"가정,생활 > 편의점 > CU",,16081854,02-422-8485,CU 거여중앙점,http://place.map.kakao.com/16081854,서울 송파구 거마로2길 3,127.145122178353,37.4935522510609
서울 송파구 거여동 17,CS2,편의점,"가정,생활 > 편의점 > CU",,1061285820,,CU 거여공원점,http://place.map.kakao.com/1061285820,서울 송파구 거마로3길 21,127.142496633677,37.4948312719926
서울 송파구 거여동 202-180,CS2,편의점,"가정,생활 > 편의점 > CU",,860816272,,CU 송파시그니처점,http://place.map.kakao.com/860816272,서울 송파구 거마로 56,127.14893981817158,37.49586308558198
서울 송파구 거여동 43-4,CS2,편의점,"가정,생활 > 편의점 > CU",,649856775,,CU 시그니처다미점,http://place.map.kakao.com/649856775,서울 송파구 거마로10길 6,127.145917142745,37.4953028279341
서울 송파구 잠실동 299,CS2,편의점,"가정,생활 > 편의점 > CU",,1467006261,02-424-1804,CU 잠실아주점,http://place.map.kakao.com/1467006261,서울 송파구 도곡로64길 12,127.07933539115533,37.504999858239245
서울 송파구 가락동 141,CS2,편의점,"가정,생활 > 편의점 > CU",,917478166,,CU 가락쌍용점,http://place.map.kakao.com/917478166,서울 송파구 동남로9길 35,127.12667939221,37.4952060901562
