address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 은평구 신사동 372,CS2,편의점,"가정,생활 > 편의점 > CU",,78345031,1577-3663,CU 신사해링턴점,http://place.map.kakao.com/78345031,서울 은평구 가좌로 334,126.90885297861873,37.59866448283141
서울 은평구 응암동 584-50,CS2,편의점,"가정,생활 > 편의점 > CU",,16877524,02-372-3681,CU 응암신응교점,http://place.map.kakao.com/16877524,서울 은평구 가좌로 256,126.91496286399239,37.592118836545055
서울 은평구 응암동 732-27,CS2,편의점,"가정,생활 > 편의점 > CU",,16297203,02-304-7470,CU 응암현대점,http://place.map.kakao.com/16297203,서울 은평구 가좌로7나길 2,126.919029978007,37.5859084538991
서울 은평구 신사동 29-30,CS2,편의점,"가정,생활 > 편의점 > CU",,17051153,02-309-2653,CU 신사본점,http://place.map.kakao.com/17051153,서울 은평구 가좌로 322,126.909638270986,37.5963387281134
서울 은평구 응암동 585-18,CS2,편의점,"가정,생활 > 편의점 > CU",,19202725,02-306-4198,CU 은평새절점,http://place.map.kakao.com/19202725,서울 은평구 가좌로 241-1,126.91576806755,37.5909841641545
서울 은평구 응암동 732-9,CS2,편의점,"가정,생활 > 편의점 > CU",,26775900,02-6011-6636,CU 응암에이스점,http://place.map.kakao.com/26775900,서울 은평구 가좌로7다길 7,126.918392081884,37.5853025474484
서울 은평구 갈현동 522-43,CS2,편의점,"가정,생활 > 편의점 > CU",,1612025322,,CU 갈현선정점,http://place.map.kakao.com/1612025322,서울 은평구 갈현로23길 25,126.911714876231,37.6175279685486
서울 은평구 갈현동 504-2,CS2,편의점,"가정,생활 > 편의점 > CU",,19206192,02-353-6559,CU 은평갈현점,http://place.map.kakao.com/19206192,서울 은평구 갈현로 233,126.914881339906,37.617959165255
서울 은평구 역촌동 49-33,CS2,편의점,"가정,생활 > 편의점 > CU",,1775313149,,CU 역촌그린점,http://place.map.kakao.com/1775313149,서울 은평구 갈현로14길 15,126.912501965206,37.6069959971051
서울 은평구 신사동 282-1,CS2,편의점,"가정,생활 > 편의점 > CU",,16763041,02-354-9589,CU 은평신사점,http://place.map.kakao.com/16763041,서울 은평구 갈현로3길 42,126.905483752061,37.6007503289209
서울 은평구 갈현동 267-56,CS2,편의점,"가정,생활 > 편의점 > CU",,29579400,02-353-5732,CU 대성바론점,http://place.map.kakao.com/29579400,서울 은평구 갈현로29길 53,126.911209447792,37.6225055451916
서울 은평구 역촌동 71-11,CS2,편의점,"가정,생활 > 편의점 > CU",,16557567,02-352-6558,CU 역촌서부점,http://place.map.kakao.com/16557567,서울 은평구 갈현로11길 15,126.908803106938,37.6051966235325
서울 은평구 구산동 26-24,CS2,편의점,"가정,생활 > 편의점 > CU",,16441959,02-359-3856,CU 구산제일점,http://place.map.kakao.com/16441959,서울 은평구 갈현로 109,126.910661960534,37.6076667566866
서울 은평구 역촌동 78-45,CS2,편의점,"가정,생활 > 편의점 > CU",,19201306,02-384-9066,CU 역촌제일점,http://place.map.kakao.com/19201306,서울 은평구 갈현로 59,126.910232420546,37.6032155415762
서울 은평구 구산동 224,CS2,편의점,"가정,생활 > 편의점 > CU",,67822571,,CU 서북병원점,http://place.map.kakao.com/67822571,서울 은평구 갈현로11길 46,126.905471626875,37.604963348798
서울 은평구 녹번동 170-1,CS2,편의점,"가정,생활 > 편의점 > CU",,19204332,02-383-4818,CU 녹번초교점,http://place.map.kakao.com/19204332,서울 은평구 녹번로1길 23,126.927121961752,37.6054508226451
서울 은평구 불광동 170-37,CS2,편의점,"가정,생활 > 편의점 > CU",,1221196430,,CU 은평행복점,http://place.map.kakao.com/1221196430,서울 은평구 불광로 204,126.929645545256,37.6242667933332
서울 은평구 불광동 645,CS2,편의점,"가정,생활 > 편의점 > CU",,27386782,02-383-8153,CU 불광캐슬점,http://place.map.kakao.com/27386782,서울 은평구 불광로 64,126.93225311326145,37.613122199105895
서울 은평구 불광동 189-9,CS2,편의점,"가정,생활 > 편의점 > CU",,26775741,02-385-4463,CU 불광으뜸점,http://place.map.kakao.com/26775741,서울 은평구 불광로 176,126.931591205744,37.622283963764
서울 은평구 불광동 13-24,CS2,편의점,"가정,생활 > 편의점 > CU",,352982824,,CU 불광힐스테이트점,http://place.map.kakao.com/352982824,서울 은평구 불광로 122-7,126.93347535543721,37.61802877566745
서울 은평구 불광동 8-275,CS2,편의점,"가정,생활 > 편의점 > CU",,212745837,,CU 불광베스트점,http://place.map.kakao.com/212745837,서울 은평구 불광로 98,126.933074356439,37.6155346138615
서울 은평구 수색동 318-5,CS2,편의점,"가정,생활 > 편의점 > CU",,1842447931,0507-1332-7221,CU 수색은혜점,http://place.map.kakao.com/1842447931,서울 은평구 수색로22길 7,126.889248521668,37.5860572587332
서울 은평구 수색동 368-6,CS2,편의점,"가정,생활 > 편의점 > CU",,864502935,,CU 수색역점,http://place.map.kakao.com/864502935,서울 은평구 수색로 266,126.894961775409,37.5826981737658
서울 은평구 수색동 30-2,CS2,편의점,"가정,생활 > 편의점 > CU",,1316034946,,CU DMC샛별점,http://place.map.kakao.com/1316034946,서울 은평구 수색로 216,126.89980092828233,37.57989308338689
서울 은평구 대조동 208-1,CS2,편의점,"가정,생활 > 편의점 > CU",,82170474,02-355-9590,CU 대조라온점,http://place.map.kakao.com/82170474,서울 은평구 역말로9길 37,126.922220385253,37.6143026149689
서울 은평구 역촌동 20-28,CS2,편의점,"가정,생활 > 편의점 > CU",,194724024,02-353-5965,CU 역촌역말로점,http://place.map.kakao.com/194724024,서울 은평구 역말로 60-1,126.91717377724,37.6058010521551
서울 은평구 갈현동 464-19,CS2,편의점,"가정,생활 > 편의점 > CU",,1972972217,,CU 구산본점,http://place.map.kakao.com/1972972217,서울 은평구 연서로17길 8,126.916608848311,37.6127346669332
서울 은평구 대조동 185-25,CS2,편의점,"가정,생활 > 편의점 > CU",,892934620,1577-8007,CU 연신내본점,http://place.map.kakao.com/892934620,서울 은평구 연서로28길 11,126.92133557053714,37.617751011133656
