address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 송파구 석촌동 272-25,CS2,편의점,"가정,생활 > 편의점 > GS25",,592072342,080-999-5425,GS25 뉴석촌센타점,http://place.map.kakao.com/592072342,서울 송파구 가락로 95,127.106635881385,37.5010067370618
서울 송파구 송파동 98-33,CS2,편의점,"가정,생활 > 편의점 > GS25",,19034147,080-999-5425,GS25 송파행운점,http://place.map.kakao.com/19034147,서울 송파구 가락로 144,127.111831150836,37.502432729715
서울 송파구 석촌동 275-9,CS2,편의점,"가정,생활 > 편의점 > GS25",,2054520968,080-999-5425,GS25 석촌시장점,http://place.map.kakao.com/2054520968,서울 송파구 가락로16길 4,127.1085085382464,37.500915832237816
서울 송파구 방이동 143,CS2,편의점,"가정,생활 > 편의점 > GS25",,16447347,02-422-3213,GS25 방이센타점,http://place.map.kakao.com/16447347,서울 송파구 가락로39길 21,127.116899422883,37.5122235440598
서울 송파구 방이동 162,CS2,편의점,"가정,생활 > 편의점 > GS25",,142515716,080-999-5425,GS25 방이가락로점,http://place.map.kakao.com/142515716,서울 송파구 가락로42길 14,127.120966484701,37.5120365452219
서울 송파구 거여동 136-22,CS2,편의점,"가정,생활 > 편의점 > GS25",,16080393,,GS25 거여삼호점,http://place.map.kakao.com/16080393,서울 송파구 거마로9길 23,127.143441696982,37.4970393950239
서울 송파구 거여동 23,CS2,편의점,"가정,생활 > 편의점 > GS25",,27043933,02-400-0451,GS25 거여센타점,http://place.map.kakao.com/27043933,서울 송파구 거마로3길 18,127.142917324235,37.4948451799115
서울 송파구 마천동 47-7,CS2,편의점,"가정,생활 > 편의점 > GS25",,22839548,010-6746-5846,GS25 마천공원점,http://place.map.kakao.com/22839548,서울 송파구 거마로24길 5,127.148210505034,37.4999059141975
서울 송파구 거여동 178-62,CS2,편의점,"가정,생활 > 편의점 > GS25",,131160945,02-401-3589,GS25 송파우리점,http://place.map.kakao.com/131160945,서울 송파구 거마로7길 10-1,127.144325819583,37.4957588897859
서울 송파구 마천동 128-63,CS2,편의점,"가정,생활 > 편의점 > GS25",,1634143908,080-999-5425,GS25 뉴마천중앙점,http://place.map.kakao.com/1634143908,서울 송파구 거마로20길 27,127.149376458073,37.4970680801345
서울 송파구 잠실동 294-21,CS2,편의점,"가정,생활 > 편의점 > GS25",,857186584,080-999-5425,GS25 송파잠실점,http://place.map.kakao.com/857186584,서울 송파구 도곡로 454,127.07846521334697,37.505640153068796
서울 송파구 문정동 25-6,CS2,편의점,"가정,생활 > 편의점 > GS25",,16736245,,GS25 문정제일점,http://place.map.kakao.com/16736245,서울 송파구 동남로6길 17,127.1250958616802,37.48887730392625
서울 송파구 가락동 123-17,CS2,편의점,"가정,생활 > 편의점 > GS25",,8552475,,GS25 가락제일점,http://place.map.kakao.com/8552475,서울 송파구 동남로13길 50,127.124764064255,37.4940188000036
서울 송파구 오금동 58-10,CS2,편의점,"가정,생활 > 편의점 > GS25",,12296893,02-403-2526,GS25 오금후레쉬점,http://place.map.kakao.com/12296893,서울 송파구 동남로23길 29,127.13385435649661,37.502114298212085
서울 송파구 가락동 135-24,CS2,편의점,"가정,생활 > 편의점 > GS25",,917885865,080-999-5425,GS25 가락미륭점,http://place.map.kakao.com/917885865,서울 송파구 동남로11길 12,127.127571624791,37.4932193118808
서울 송파구 오금동 119,CS2,편의점,"가정,생활 > 편의점 > GS25",,1223573817,080-999-5425,GS25 거여초교점,http://place.map.kakao.com/1223573817,서울 송파구 동남로30길 8,127.139750626187,37.5043347541445
서울 송파구 마천동 178-85,CS2,편의점,"가정,생활 > 편의점 > GS25",,25757461,,GS25 마천센타점,http://place.map.kakao.com/25757461,서울 송파구 마천로51길 22,127.152121301804,37.496642906832
서울 송파구 마천동 17,CS2,편의점,"가정,생활 > 편의점 > GS25",,761392266,080-999-5425,GS25 마천빌리지점,http://place.map.kakao.com/761392266,서울 송파구 마천로31길 14,127.1432866384,37.5017049895973
서울 송파구 오금동 114-30,CS2,편의점,"가정,생활 > 편의점 > GS25",,25757183,,GS25 송파한두리점,http://place.map.kakao.com/25757183,서울 송파구 마천로 193,127.14035452341203,37.502503196213155
서울 송파구 방이동 213,CS2,편의점,"가정,생활 > 편의점 > GS25",,25757477,,GS25 방이마천로점,http://place.map.kakao.com/25757477,서울 송파구 마천로 22,127.1234641829568,37.509459792669176
서울 송파구 오금동 130,CS2,편의점,"가정,생활 > 편의점 > GS25",,1131374518,02-423-2597,GS25 송파다빈치점,http://place.map.kakao.com/1131374518,서울 송파구 마천로26길 6-1,127.13891864718548,37.50272383772862
서울 송파구 가락동 187-9,CS2,편의점,"가정,생활 > 편의점 > GS25",,902068087,080-999-5425,GS25 가락미소점,http://place.map.kakao.com/902068087,서울 송파구 문정로11길 20,127.133977820191,37.4939933931624
