address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 영등포구 영등포동3가 10-11,CS2,편의점,"가정,생활 > 편의점 > GS25",,12297294,02-2677-0544,GS25 영등포본점,http://place.map.kakao.com/12297294,서울 영등포구 경인로 849,126.907114500125,37.5168183631781
서울 영등포구 문래동2가 40-6,CS2,편의점,"가정,생활 > 편의점 > GS25",,1353106016,,GS25 문래승호점,http://place.map.kakao.com/1353106016,서울 영등포구 경인로77길 14,126.89278385191008,37.51294542440794
서울 영등포구 영등포동1가 113-1,CS2,편의점,"가정,생활 > 편의점 > GS25",,25757576,02-2631-4563,GS25 영등포씨티점,http://place.map.kakao.com/25757576,서울 영등포구 경인로 882,126.91078979763735,37.517606871060096
서울 영등포구 문래동4가 67,CS2,편의점,"가정,생활 > 편의점 > GS25",,16796127,,GS25 문래신안점,http://place.map.kakao.com/16796127,서울 영등포구 경인로77길 49,126.88902085561983,37.514376346529254
서울 영등포구 영등포동 618-88,CS2,편의점,"가정,생활 > 편의점 > GS25",,25766237,,GS25 영등포역점,http://place.map.kakao.com/25766237,서울 영등포구 경인로102길 4,126.906337387067,37.5159239542157
서울 영등포구 문래동3가 55-20,CS2,편의점,"가정,생활 > 편의점 > GS25",,16273080,080-999-5425,GS25 문래에이스점,http://place.map.kakao.com/16273080,서울 영등포구 경인로 775,126.899489337324,37.5143505793578
서울 영등포구 문래동1가 39,CS2,편의점,"가정,생활 > 편의점 > GS25",,12297333,,GS25 문래센터점,http://place.map.kakao.com/12297333,서울 영등포구 경인로82길 3-4,126.89659087967789,37.51228838290565
서울 영등포구 영등포동1가 79-1,CS2,편의점,"가정,생활 > 편의점 > GS25",,27498422,,GS25 신길역점,http://place.map.kakao.com/27498422,서울 영등포구 경인로114가길 4,126.91401303351068,37.51810751629567
서울 영등포구 문래동3가 55-20,CS2,편의점,"가정,생활 > 편의점 > GS25",,16085960,,GS25 문래시티점,http://place.map.kakao.com/16085960,서울 영등포구 경인로 775,126.899507430267,37.5143541987667
서울 영등포구 당산동6가 284,CS2,편의점,"가정,생활 > 편의점 > GS25",,1282280398,080-999-5425,GS25 당산뷰티풀점,http://place.map.kakao.com/1282280398,서울 영등포구 당산로 246,126.90326865923012,37.53516507918318
서울 영등포구 당산동3가 388-1,CS2,편의점,"가정,생활 > 편의점 > GS25",,12297243,,GS25 영등포병원점,http://place.map.kakao.com/12297243,서울 영등포구 당산로33길 9,126.895661806155,37.5272388049173
서울 영등포구 당산동1가 296,CS2,편의점,"가정,생활 > 편의점 > GS25",,26468697,080-999-5425,GS25 영등포타운점,http://place.map.kakao.com/26468697,서울 영등포구 당산로20길 9-2,126.897368424428,37.523492132521
서울 영등포구 당산동3가 223-6,CS2,편의점,"가정,생활 > 편의점 > GS25",,27498410,02-2676-4679,GS25 당산대우점,http://place.map.kakao.com/27498410,서울 영등포구 당산로30길 9,126.897713906678,37.5256476289998
