address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강북구 수유동 223-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,758955529,1577-0711,세븐일레븐 수유로데오점,http://place.map.kakao.com/758955529,서울 강북구 노해로 38,127.023070109319,37.6388968014246
서울 강북구 수유동 220-29,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,514072930,,세븐일레븐 수유노해점,http://place.map.kakao.com/514072930,서울 강북구 노해로 56,127.022746610531,37.640663695274
서울 강북구 수유동 252-110,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1670328253,1577-0711,세븐일레븐 수유드림점,http://place.map.kakao.com/1670328253,서울 강북구 노해로 101,127.023201062103,37.64465586812
서울 강북구 수유동 703-15,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,800493516,1577-0711,세븐일레븐 수유하나점,http://place.map.kakao.com/800493516,서울 강북구 노해로33다길 5,127.02056507042973,37.64718992345902
서울 강북구 수유동 47-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7950721,1577-0711,세븐일레븐 수유점,http://place.map.kakao.com/7950721,서울 강북구 덕릉로 75,127.0220242669917,37.63477048919549
서울 강북구 번동 448-11,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8445287,,세븐일레븐 번동점,http://place.map.kakao.com/8445287,서울 강북구 덕릉로 101,127.02513764797307,37.63499060839857
서울 강북구 수유동 48-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,23492314,,세븐일레븐 수유제네스타워점,http://place.map.kakao.com/23492314,서울 강북구 덕릉로 82,127.02272660109122,37.63448834754366
서울 강북구 수유동 230-7,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1867893598,1577-0711,세븐일레븐 수유인텔리안점,http://place.map.kakao.com/1867893598,서울 강북구 도봉로 313,127.02343416415,37.6364433474062
서울 강북구 수유동 229-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,21251728,,세븐일레븐 수유메인점,http://place.map.kakao.com/21251728,서울 강북구 도봉로87길 3,127.02519534601431,37.638103499996355
서울 강북구 미아동 55-59,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18118005,1577-0711,세븐일레븐 미아로데오점,http://place.map.kakao.com/18118005,서울 강북구 도봉로10가길 5,127.03084778208519,37.61335655351913
