address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강서구 화곡동 902-10,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1862934612,1577-0711,세븐일레븐 까치산점,http://place.map.kakao.com/1862934612,서울 강서구 강서로7길 19,126.84669197248522,37.52949825955349
서울 강서구 화곡동 914-35,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2060754967,,세븐일레븐 화곡원룸점,http://place.map.kakao.com/2060754967,서울 강서구 강서로7길 59,126.844418506689,37.5292439072337
서울 강서구 등촌동 680-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18116583,1577-0711,세븐일레븐 서울호서대점,http://place.map.kakao.com/18116583,서울 강서구 강서로 418,126.83983073906617,37.56265669798539
서울 강서구 등촌동 674-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,93287451,1577-0711,세븐일레븐 발산본점,http://place.map.kakao.com/93287451,서울 강서구 강서로 378,126.83872316738,37.559273752716
서울 강서구 등촌동 683,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7950830,1577-0711,세븐일레븐 등촌5호점,http://place.map.kakao.com/7950830,서울 강서구 강서로68길 12,126.841552644702,37.566220656139
서울 강서구 화곡동 926-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2125036350,1577-0711,세븐일레븐 우리동네점,http://place.map.kakao.com/2125036350,서울 강서구 강서로7길 89,126.84275573796627,37.52910295093745
서울 강서구 화곡동 1075-49,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1850887541,1577-0711,세븐일레븐 화곡중앙점,http://place.map.kakao.com/1850887541,서울 강서구 강서로31길 10,126.840580108135,37.5402994630718
서울 강서구 내발산동 653,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18116465,,세븐일레븐 발산신화점,http://place.map.kakao.com/18116465,서울 강서구 강서로 360,126.83866650458438,37.55773297171396
서울 강서구 화곡동 1068,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,843125032,1577-0711,세븐일레븐 화곡수명점,http://place.map.kakao.com/843125032,서울 강서구 강서로33길 103,126.834256743871,37.5405358289352
서울 강서구 화곡동 353-55,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18114785,,세븐일레븐 화곡5호점,http://place.map.kakao.com/18114785,서울 강서구 강서로17길 62,126.84234840810521,37.53262036442158
서울 강서구 내발산동 716-24,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18823884,02-2664-7003,세븐일레븐 강서내발산길점,http://place.map.kakao.com/18823884,서울 강서구 강서로45라길 35,126.83408340347144,37.54931491268692
서울 강서구 마곡동 794-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1969861936,,세븐일레븐 마곡에스비점,http://place.map.kakao.com/1969861936,서울 강서구 강서로 385,126.83827639266518,37.560190355579806
서울 강서구 화곡동 662-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16383810,02-2604-7001,세븐일레븐 S까치산역점,http://place.map.kakao.com/16383810,서울 강서구 강서로 지하 54,126.846612269038,37.5319569866609
서울 강서구 화곡동 421-24,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1599809709,,세븐일레븐 강서화곡삼화점,http://place.map.kakao.com/1599809709,서울 강서구 강서로15길 116,126.839552239084,37.5320665379615
서울 강서구 마곡동 727-1262,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1413078982,,세븐일레븐 마곡호서대기숙사점,http://place.map.kakao.com/1413078982,서울 강서구 강서로 399,126.83856015852464,37.561386365489746
서울 강서구 화곡동 504-87,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,951540967,,세븐일레븐 화곡행복점,http://place.map.kakao.com/951540967,서울 강서구 등촌로13길 90,126.859386994539,37.5371986885626
서울 강서구 등촌동 507-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,632212657,1577-0711,세븐일레븐 강서등촌역점,http://place.map.kakao.com/632212657,서울 강서구 등촌로 229,126.863452271496,37.5502535253664
서울 강서구 화곡동 826-13,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1255861672,,세븐일레븐 강서화곡신정점,http://place.map.kakao.com/1255861672,서울 강서구 등촌로13다길 32-18,126.858828918455,37.5355401830113
서울 강서구 등촌동 518-24,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1368258753,1577-0711,세븐일레븐 등촌우리점,http://place.map.kakao.com/1368258753,서울 강서구 등촌로39마길 24,126.858855948238,37.546410770042
서울 강서구 등촌동 511-10,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1582319416,1577-0711,세븐일레븐 등촌영일점,http://place.map.kakao.com/1582319416,서울 강서구 등촌로51가길 27,126.86242940806538,37.54770791983721
