address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 구로구 개봉동 403-51,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,10557923,,세븐일레븐 개봉점,http://place.map.kakao.com/10557923,서울 구로구 개봉로 67,126.855641184389,37.4917511733046
서울 구로구 개봉동 255-26,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2019082332,,세븐일레븐 개봉아이파크점,http://place.map.kakao.com/2019082332,서울 구로구 개봉로2길 133-21,126.860649217827,37.4912237905607
서울 구로구 개봉동 478,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16301055,1577-0711,세븐일레븐 개봉한진점,http://place.map.kakao.com/16301055,서울 구로구 개봉로3길 87,126.851667902734,37.4859077258406
서울 구로구 개봉동 258-25,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1784266028,1577-0711,세븐일레븐 개봉초교점,http://place.map.kakao.com/1784266028,서울 구로구 개봉로16길 39,126.858457385517,37.4902444935271
서울 구로구 개봉동 351-26,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1904154314,1577-0711,세븐일레븐 구로개봉본점,http://place.map.kakao.com/1904154314,서울 구로구 개봉로11길 35,126.854119915193,37.4878776779205
서울 구로구 고척동 76-160,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1761243729,1577-0711,세븐일레븐 구로골든타워점,http://place.map.kakao.com/1761243729,서울 구로구 경인로 397,126.86374811312737,37.497738076664604
서울 구로구 개봉동 415,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1202229699,1577-0711,세븐일레븐 개봉역점,http://place.map.kakao.com/1202229699,서울 구로구 경인로40길 47,126.8591029224405,37.494522343377625
서울 구로구 신도림동 337,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8381836,02-3439-7511,세븐일레븐 신도림미래사랑점,http://place.map.kakao.com/8381836,서울 구로구 경인로 661,126.888444222695,37.509659048220335
서울 구로구 구로동 603-9,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,293584211,,세븐일레븐 구로스타점,http://place.map.kakao.com/293584211,서울 구로구 경인로 572,126.881083305471,37.5033051905389
서울 구로구 고척동 76-137,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13120883,02-2685-6965,세븐일레븐 동양공대점,http://place.map.kakao.com/13120883,서울 구로구 경인로47길 13,126.866780387919,37.5000390994733
