address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 금천구 가산동 143-11,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,19429512,,세븐일레븐 금천가산점,http://place.map.kakao.com/19429512,서울 금천구 가산로 147-7,126.89033974247,37.4780210741426
서울 금천구 가산동 144-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1344074961,,세븐일레븐 가산노블루체점,http://place.map.kakao.com/1344074961,서울 금천구 가산로9길 17,126.890783898397,37.4765744648023
서울 금천구 가산동 60-46,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,523199655,1577-0711,세븐일레븐 가산리즌밸리점,http://place.map.kakao.com/523199655,서울 금천구 가산로9길 66,126.88835285262,37.4760694295403
서울 금천구 가산동 152-30,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2063056206,1577-0711,세븐일레븐 가산위브점,http://place.map.kakao.com/2063056206,서울 금천구 가산로7길 12,126.89231951253,37.4755514265716
서울 금천구 가산동 153-7,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1740431502,,세븐일레븐 가산광진점,http://place.map.kakao.com/1740431502,서울 금천구 가산로 89,126.89435786334778,37.47393775638421
서울 금천구 가산동 145-27,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1973943844,1577-0711,세븐일레븐 금천가산더블유점,http://place.map.kakao.com/1973943844,서울 금천구 가산로 134,126.891782015692,37.4774637782556
서울 금천구 시흥동 1010,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,852502356,,세븐일레븐 금천벽산1단지점,http://place.map.kakao.com/852502356,서울 금천구 금하로 793,126.920268819454,37.4517463437954
서울 금천구 독산동 962-28,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1959578663,1577-0711,세븐일레븐 독산본점,http://place.map.kakao.com/1959578663,서울 금천구 독산로 335-1,126.903415165933,37.4767963011791
서울 금천구 시흥동 819-9,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18117218,,세븐일레븐 시흥초교점,http://place.map.kakao.com/18117218,서울 금천구 독산로 86-1,126.906037991123,37.4551525275305
서울 금천구 독산동 1024-9,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1440218418,1577-0711,세븐일레븐 금천보길점,http://place.map.kakao.com/1440218418,서울 금천구 독산로73길 13,126.90113773862106,37.46774016798578
서울 금천구 시흥동 935-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,288126430,,세븐일레븐 금천백산점,http://place.map.kakao.com/288126430,서울 금천구 독산로 10,126.90417134675397,37.448575434697524
서울 금천구 독산동 1037-31,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13119516,1577-0711,세븐일레븐 독산정훈점,http://place.map.kakao.com/13119516,서울 금천구 독산로 211,126.901991819099,37.4655325017763
서울 금천구 독산동 291-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1603522923,1577-0711,세븐일레븐 독산현대점,http://place.map.kakao.com/1603522923,서울 금천구 두산로 70,126.895513406293,37.4689435838601
서울 금천구 독산동 300-26,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,392939854,,세븐일레븐 금천리온점,http://place.map.kakao.com/392939854,서울 금천구 두산로14길 18,126.894842700008,37.4692024799088
서울 금천구 가산동 237-110,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,878253872,1577-0711,세븐일레븐 가산타운점,http://place.map.kakao.com/878253872,서울 금천구 두산로3가길 33,126.890228336828,37.4738006427824
서울 금천구 독산동 291-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1702532176,1577-0711,세븐일레븐 독산지식센터점,http://place.map.kakao.com/1702532176,서울 금천구 두산로 70,126.895461473182,37.4688957843722
서울 금천구 가산동 715,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1541463405,1577-0711,세븐일레븐 독산역점,http://place.map.kakao.com/1541463405,서울 금천구 범안로 1138,126.888395263227,37.4657943501824
서울 금천구 독산동 1007-13,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1551834586,1577-0711,세븐일레븐 독산더타워점,http://place.map.kakao.com/1551834586,서울 금천구 범안로 1212,126.896335757787,37.4661034213984
서울 금천구 가산동 687,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1135621120,1577-0711,세븐일레븐 가산대륭21차점,http://place.map.kakao.com/1135621120,서울 금천구 범안로 1126,126.88703057660351,37.46525424888792
서울 금천구 독산동 1027-18,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,576375293,1577-0711,세븐일레븐 금천부창점,http://place.map.kakao.com/576375293,서울 금천구 범안로 1239,126.89957363686611,37.46660717952699
서울 금천구 가산동 685,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1665371631,,세븐일레븐 가산엠파이어점,http://place.map.kakao.com/1665371631,서울 금천구 범안로 1130,126.887672228017,37.4655215598077
서울 금천구 가산동 239-12,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1157021766,1577-0711,세븐일레븐 금천제일점,http://place.map.kakao.com/1157021766,서울 금천구 벚꽃로 216,126.8864857741073,37.4742007589955
서울 금천구 가산동 238-84,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1588357664,,세븐일레븐 가산용주점,http://place.map.kakao.com/1588357664,서울 금천구 벚꽃로24길 14,126.887185271366,37.4736391988901
서울 금천구 독산동 1004,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1306643699,,세븐일레븐 독산역본점,http://place.map.kakao.com/1306643699,서울 금천구 벚꽃로 114,126.890239482522,37.4654050387962
