address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 노원구 공릉동 633-15,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16051444,02-971-0831,세븐일레븐 공릉점,http://place.map.kakao.com/16051444,서울 노원구 공릉로 101,127.07784145680093,37.61930125585052
서울 노원구 공릉동 439-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,489533643,1577-0711,세븐일레븐 서울과기대점,http://place.map.kakao.com/489533643,서울 노원구 공릉로51길 14-2,127.076380986609,37.6288553747025
서울 노원구 공릉동 421-15,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1116310439,,세븐일레븐 공릉삼익점,http://place.map.kakao.com/1116310439,서울 노원구 공릉로46길 18,127.079994093076,37.6271726410262
서울 노원구 공릉동 589-15,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,300222791,,세븐일레븐 공릉하나점,http://place.map.kakao.com/300222791,서울 노원구 공릉로 119-27,127.077877870027,37.6216329874256
서울 노원구 공릉동 238-25,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1673595284,,세븐일레븐 공릉금강점,http://place.map.kakao.com/1673595284,서울 노원구 공릉로38길 17,127.080439684134,37.6233323326378
서울 노원구 공릉동 745,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,294092525,,세븐일레븐 과기대점,http://place.map.kakao.com/294092525,서울 노원구 공릉로 211,127.077273184132,37.6283871819243
서울 노원구 공릉동 415-65,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16081627,1577-0711,세븐일레븐 노원공릉그린점,http://place.map.kakao.com/16081627,서울 노원구 공릉로41길 21,127.078361263057,37.6245987168523
서울 노원구 월계동 447-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1535990728,,세븐일레븐 광운스퀘어점,http://place.map.kakao.com/1535990728,서울 노원구 광운로 20,127.058314842547,37.6193152240193
서울 노원구 월계동 445,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1602703554,,세븐일레븐 광운대원룸점,http://place.map.kakao.com/1602703554,서울 노원구 광운로2가길 23,127.05933557310284,37.61810018357334
서울 노원구 월계동 379-50,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16850795,1577-0711,세븐일레븐 성북역점,http://place.map.kakao.com/16850795,서울 노원구 광운로 71,127.06004800368336,37.623700361506536
