address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 동작구 노량진동 16-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,502593321,010-3463-1408,세븐일레븐 드림스퀘어점,http://place.map.kakao.com/502593321,서울 동작구 노들로2길 7,126.93766233026994,37.51409668178157
서울 동작구 신대방동 643-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18116420,,세븐일레븐 M신대방역점,http://place.map.kakao.com/18116420,서울 동작구 대림로 2,126.91317513329555,37.48757633464119
서울 동작구 대방동 37-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7949189,,세븐일레븐 대방점,http://place.map.kakao.com/7949189,서울 동작구 등용로 119,126.93180759773354,37.51173551935777
서울 동작구 대방동 17-38,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,12149153,,세븐일레븐 대방등용점,http://place.map.kakao.com/12149153,서울 동작구 등용로 87,126.93198866491493,37.509137127165395
서울 동작구 노량진동 325-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18114598,,세븐일레븐 리버파크점,http://place.map.kakao.com/18114598,서울 동작구 만양로3길 20,126.94611933684696,37.50821097708015
서울 동작구 노량진동 222-35,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8379440,02-825-8327,세븐일레븐 노량진5호점,http://place.map.kakao.com/8379440,서울 동작구 만양로12길 16,126.946311373139,37.5101211943223
서울 동작구 상도동 20-50,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,12149463,02-3280-2343,세븐일레븐 상도신동아점,http://place.map.kakao.com/12149463,서울 동작구 만양로 9-1,126.9468189784017,37.505670460151755
서울 동작구 노량진동 119-162,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18112302,,세븐일레븐 노량진삼익점,http://place.map.kakao.com/18112302,서울 동작구 만양로 88,126.944604843956,37.5113493763108
서울 동작구 노량진동 219-20,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1293482887,,세븐일레븐 노량진사랑점,http://place.map.kakao.com/1293482887,서울 동작구 만양로 53-1,126.946389248442,37.5087733268434
서울 동작구 상도동 502-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1397581059,,세븐일레븐 숭실대중앙점,http://place.map.kakao.com/1397581059,서울 동작구 사당로 18,126.956237120326,37.4951974271259
서울 동작구 사당동 147-78,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1911657396,1577-0711,세븐일레븐 이수태평점,http://place.map.kakao.com/1911657396,서울 동작구 사당로 301-1,126.98094812347777,37.48533796340207
서울 동작구 사당동 220-85,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1702054624,1577-0711,세븐일레븐 남성사당로점,http://place.map.kakao.com/1702054624,서울 동작구 사당로 193,126.96998509964986,37.48533208291666
서울 동작구 사당동 249-11,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1959866056,,세븐일레븐 동작제일점,http://place.map.kakao.com/1959866056,서울 동작구 사당로12길 22,126.970290967711,37.4838527043497
서울 동작구 사당동 1160,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2129068083,1577-0711,세븐일레븐 동작골든포레점,http://place.map.kakao.com/2129068083,서울 동작구 사당로 90,126.9627215239138,37.49239842040196
서울 동작구 사당동 272-38,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,10475834,,세븐일레븐 사당남성점,http://place.map.kakao.com/10475834,서울 동작구 사당로14길 32,126.971064730232,37.4828257465262
서울 동작구 사당동 1027-37,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,395357926,,세븐일레븐 사당로점,http://place.map.kakao.com/395357926,서울 동작구 사당로28길 56,126.979278560798,37.479634296754
서울 동작구 상도동 509-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13120242,02-825-1402,세븐일레븐 상도점,http://place.map.kakao.com/13120242,서울 동작구 사당로 56,126.960570759998,37.4945826643018
서울 동작구 사당동 1159,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1726126754,,세븐일레븐 사당로이파크점,http://place.map.kakao.com/1726126754,서울 동작구 사당로23길 112,126.97315450565213,37.488145792946064
서울 동작구 상도동 28-13,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,233424027,02-814-6843,세븐일레븐 상도두산점,http://place.map.kakao.com/233424027,서울 동작구 상도로30길 63,126.944375000953,37.5040466240868
서울 동작구 대방동 393-65,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,374133851,1577-0711,세븐일레븐 대방본점,http://place.map.kakao.com/374133851,서울 동작구 상도로 69,126.928261599612,37.5000041353128
서울 동작구 상도동 430,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13057044,,세븐일레븐 상도주공점,http://place.map.kakao.com/13057044,서울 동작구 상도로53길 70,126.954093048758,37.5026353207419
서울 동작구 대방동 396-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1935839191,,세븐일레븐 동작대림점,http://place.map.kakao.com/1935839191,서울 동작구 상도로 43-1,126.925206855398,37.5001986600527
서울 동작구 상도동 363-164,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,12580579,1577-0711,세븐일레븐 동작휴엔하임점,http://place.map.kakao.com/12580579,서울 동작구 상도로15길 131,126.937970759711,37.5049678662546
서울 동작구 상도동 170-10,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1631236578,,세븐일레븐 동작상도점,http://place.map.kakao.com/1631236578,서울 동작구 상도로 206,126.9414495779206,37.505030009124816
서울 동작구 상도1동 747-3,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1313927079,,세븐일레븐 상도역점,http://place.map.kakao.com/1313927079,서울 동작구 상도로 274,126.9475108375,37.5028704449007
