address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 서초구 양재동 276-7,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18114222,,세븐일레븐 양재삼호점,http://place.map.kakao.com/18114222,서울 서초구 논현로17길 4,127.045357378386,37.4765567678269
서울 서초구 양재동 276-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7948513,02-577-5874,세븐일레븐 양재12호점,http://place.map.kakao.com/7948513,서울 서초구 논현로19길 15,127.04469699769352,37.4763154587924
서울 서초구 방배동 2133,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,465524979,1577-0711,세븐일레븐 방배아이파크점,http://place.map.kakao.com/465524979,서울 서초구 동광로 9,126.984056271787,37.4910237837171
서울 서초구 양재동 326-3,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,13056580,02-2057-7110,세븐일레븐 서초양재점,http://place.map.kakao.com/13056580,서울 서초구 동산로 9-9,127.040261638987,37.4695199224441
서울 서초구 양재동 347-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18114746,1577-0711,세븐일레븐 양재씨티점,http://place.map.kakao.com/18114746,서울 서초구 동산로2길 50,127.043172702599,37.4678826590346
서울 서초구 양재동 376-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7949814,,세븐일레븐 양재점,http://place.map.kakao.com/7949814,서울 서초구 동산로12길 4,127.045046859768,37.4715400628234
서울 서초구 양재동 249-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1022564852,,세븐일레븐 양재7호점,http://place.map.kakao.com/1022564852,서울 서초구 마방로 12,127.04028657655,37.4738591800105
서울 서초구 양재동 274-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1214534068,1577-0711,세븐일레븐 양재트윈점,http://place.map.kakao.com/1214534068,서울 서초구 마방로10길 22,127.043869456445,37.4763383842792
서울 서초구 양재동 209-5,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,16935842,1577-0711,세븐일레븐 양재4호점,http://place.map.kakao.com/16935842,서울 서초구 매헌로 42,127.0344082755,37.4646707279966
서울 서초구 양재동 220,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,15854113,1577-0711,세븐일레븐 양재LG전자점,http://place.map.kakao.com/15854113,서울 서초구 매헌로1길 26,127.034145008417,37.4624218792639
서울 서초구 서초동 1515-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,21639995,1577-0711,세븐일레븐 서초20호점,http://place.map.kakao.com/21639995,서울 서초구 명달로22길 4,127.00446398961,37.4867503940925
서울 서초구 서초동 1516-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18112950,1577-0711,세븐일레븐 서초빌라점,http://place.map.kakao.com/18112950,서울 서초구 명달로 98,127.004296603602,37.486000761469
서울 서초구 방배동 795-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1392640709,1577-0711,세븐일레븐 방배드림점,http://place.map.kakao.com/1392640709,서울 서초구 방배로37길 11,126.98914320462,37.4935129428727
서울 서초구 방배동 982-2,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,916974874,1577-0711,세븐일레븐 방배현대점,http://place.map.kakao.com/916974874,서울 서초구 방배로 57,126.99849970566619,37.47975593845987
