address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 성동구 금호동4가 340,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1334518227,1577-0711,세븐일레븐 성동금호점,http://place.map.kakao.com/1334518227,서울 성동구 금호로 15,127.02402895629734,37.54483754479539
서울 성동구 금호동2가 223-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8377151,,세븐일레븐 S신금호역점,http://place.map.kakao.com/8377151,서울 성동구 금호로 지하 154,127.02006312784418,37.554533029207484
서울 성동구 성수동2가 269-248,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1578336183,1577-0711,세븐일레븐 성수수청영화점,http://place.map.kakao.com/1578336183,서울 성동구 뚝섬로17길 20,127.060217957477,37.5394114299726
서울 성동구 홍익동 343,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2084206941,1577-0711,세븐일레븐 왕십리센트럴점,http://place.map.kakao.com/2084206941,서울 성동구 마장로 200,127.03189466997,37.5664298912497
서울 성동구 상왕십리동 811,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,409610306,02-2281-5609,세븐일레븐 왕십리텐즈힐점,http://place.map.kakao.com/409610306,서울 성동구 마장로 137,127.02580827358896,37.569212752447086
서울 성동구 마장동 791-9,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,12149400,02-2281-8661,세븐일레븐 S마장역점,http://place.map.kakao.com/12149400,서울 성동구 마장로 296,127.04276049272757,37.56570565900586
서울 성동구 행당동 1-22,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2063704742,1577-0711,세븐일레븐 한양대학사점,http://place.map.kakao.com/2063704742,서울 성동구 마조로11길 19,127.039385354704,37.5616983005385
서울 성동구 행당동 1-52,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,19429539,1577-0711,세븐일레븐 행당미르점,http://place.map.kakao.com/19429539,서울 성동구 마조로9길 11-1,127.040093603738,37.561184494048
서울 성동구 행당동 4-27,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,7950042,02-2281-0779,세븐일레븐 한양본점,http://place.map.kakao.com/7950042,서울 성동구 마조로5길 8,127.04022432717,37.5601284813451
서울 성동구 마장동 801-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,19429292,02-2295-8172,세븐일레븐 마장하영점,http://place.map.kakao.com/19429292,서울 성동구 마조로15길 21,127.039393142858,37.5635921925598
서울 성동구 행당동 19-98,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18113581,,세븐일레븐 한양제일점,http://place.map.kakao.com/18113581,서울 성동구 마조로 11,127.04073303767632,37.5590236846705
서울 성동구 성수동1가 13-104,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1386877528,1577-0711,세븐일레븐 뚝섬점,http://place.map.kakao.com/1386877528,서울 성동구 상원8길 1,127.048267622019,37.5489206596632
서울 성동구 성수동1가 656-603,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,328084698,02-460-8188,세븐일레븐 뚝섬역점,http://place.map.kakao.com/328084698,서울 성동구 상원길 19,127.048866621284,37.5460119892242
