address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 종로구 서린동 154-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,588087776,1577-0711,세븐일레븐 광화문우체국점,http://place.map.kakao.com/588087776,서울 종로구 종로 6,126.978094477355,37.5698424359496
서울 종로구 관철동 13-13,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,23610735,02-734-9013,세븐일레븐 종로코아점,http://place.map.kakao.com/23610735,서울 종로구 종로12길 15,126.98610197061525,37.5694688360667
서울 종로구 창신동 444-14,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,8444601,,세븐일레븐 동대문호텔점,http://place.map.kakao.com/8444601,서울 종로구 종로 286,127.010314495593,37.5709648558761
서울 종로구 종로5가 138-4,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,806833876,1577-0711,세븐일레븐 청계하이뷰점,http://place.map.kakao.com/806833876,서울 종로구 종로 210,127.001203277841,37.5706841897999
서울 종로구 관철동 11-3,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,544464421,1577-0711,세븐일레븐 종로삼일점,http://place.map.kakao.com/544464421,서울 종로구 종로14길 32,126.986729226458,37.5685787246274
서울 종로구 수송동 135,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1900080403,,세븐일레븐 세종로점,http://place.map.kakao.com/1900080403,서울 종로구 종로1길 42-1,126.978668261898,37.5742137187117
서울 종로구 숭인동 217-26,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,2050604462,,세븐일레븐 동묘중앙점,http://place.map.kakao.com/2050604462,서울 종로구 종로62길 17,127.019465908915,37.5731981694372
서울 종로구 종로6가 247-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,1839501771,1577-0711,세븐일레븐 종로6가점,http://place.map.kakao.com/1839501771,서울 종로구 종로41길 3,127.006540554119,37.5714336428042
서울 종로구 종로4가 14-1,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,18112754,1577-0711,세븐일레븐 종로가배점,http://place.map.kakao.com/18112754,서울 종로구 종로 185,126.99841184719008,37.57102205848277
서울 종로구 종로2가 12,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,658649355,02-720-5849,세븐일레븐 종로피맛골점,http://place.map.kakao.com/658649355,서울 종로구 종로 77,126.98603500733762,37.57042478430526
서울 종로구 창신동 330-56,CS2,편의점,"가정,생활 > 편의점 > 세븐일레븐",,14751402,,세븐일레븐 동대문창신점,http://place.map.kakao.com/14751402,서울 종로구 종로 324-1,127.01382383986,37.5722763460651
