address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강남구 개포동 12-4,PM9,약국,"의료,건강 > 약국",,10553606,02-2226-9828,솔약국,http://place.map.kakao.com/10553606,서울 강남구 개포로 615,127.07576937004912,37.4926205735398
서울 강남구 개포동 1217,PM9,약국,"의료,건강 > 약국",,8791764,02-574-1087,기쁨약국,http://place.map.kakao.com/8791764,서울 강남구 개포로 228,127.04768763732913,37.47866691551544
서울 강남구 개포동 1238-9,PM9,약국,"의료,건강 > 약국",,13513181,02-572-6409,소나무 약국,http://place.map.kakao.com/13513181,서울 강남구 개포로 220,127.046814755866,37.4785420242897
서울 강남구 개포동 186-3,PM9,약국,"의료,건강 > 약국",,9098150,02-3411-0841,삼우약국,http://place.map.kakao.com/9098150,서울 강남구 개포로82길 11,127.067359410487,37.4884936479505
서울 강남구 개포동 653,PM9,약국,"의료,건강 > 약국",,10344106,02-574-5410,개포메디칼약국,http://place.map.kakao.com/10344106,서울 강남구 개포로 303,127.055550319007,37.4826216129623
서울 강남구 개포동 186-5,PM9,약국,"의료,건강 > 약국",,10591637,02-2226-5987,양월약국,http://place.map.kakao.com/10591637,서울 강남구 개포로82길 13-11,127.06804706350758,37.48868516853157
서울 강남구 개포동 1258-5,PM9,약국,"의료,건강 > 약국",,16704788,02-574-8376,행복온누리약국,http://place.map.kakao.com/16704788,서울 강남구 개포로 231,127.04793656395591,37.47898036601653
서울 강남구 개포동 186-13,PM9,약국,"의료,건강 > 약국",,71089868,02-445-7582,한마음온누리약국,http://place.map.kakao.com/71089868,서울 강남구 개포로 504,127.06723899097425,37.489127124940154
서울 강남구 개포동 12-4,PM9,약국,"의료,건강 > 약국",,1646664511,02-451-1833,베리타스약국,http://place.map.kakao.com/1646664511,서울 강남구 개포로 615,127.075585090399,37.4926585338794
서울 강남구 개포동 1239-20,PM9,약국,"의료,건강 > 약국",,9023345,02-575-5867,명심약국,http://place.map.kakao.com/9023345,서울 강남구 개포로 207,127.04529074861,37.4785498263637
서울 강남구 개포동 12-4,PM9,약국,"의료,건강 > 약국",,10089566,02-2226-7671,조은온누리약국,http://place.map.kakao.com/10089566,서울 강남구 개포로 615,127.075626965765,37.4926945473622
서울 강남구 개포동 655-4,PM9,약국,"의료,건강 > 약국",,2119120876,02-576-0415,맑은하늘약국,http://place.map.kakao.com/2119120876,서울 강남구 개포로 265,127.05283900027736,37.480933465087084
서울 강남구 개포동 1258-1,PM9,약국,"의료,건강 > 약국",,13503850,02-3463-0689,성심약국,http://place.map.kakao.com/13503850,서울 강남구 개포로 223,127.047258187628,37.4789346878184
서울 강남구 개포동 185,PM9,약국,"의료,건강 > 약국",,9137839,02-3412-1336,성모약국,http://place.map.kakao.com/9137839,서울 강남구 개포로 516,127.071217207743,37.4882535194419
서울 강남구 개포동 13-3,PM9,약국,"의료,건강 > 약국",,1374725058,02-3412-0106,대청약국,http://place.map.kakao.com/1374725058,서울 강남구 개포로 623,127.079649790087,37.4943425483091
서울 강남구 수서동 725,PM9,약국,"의료,건강 > 약국",,1735519777,02-3412-7655,수서역정민아약국,http://place.map.kakao.com/1735519777,서울 강남구 광평로56길 8-13,127.10319393743815,37.48661170701587
서울 강남구 수서동 724,PM9,약국,"의료,건강 > 약국",,374951856,,수서두리약국,http://place.map.kakao.com/374951856,서울 강남구 광평로 280,127.10309766119725,37.487312775087204
서울 강남구 수서동 746,PM9,약국,"의료,건강 > 약국",,12784569,02-451-7281,삼성약국,http://place.map.kakao.com/12784569,서울 강남구 광평로19길 10,127.086816302582,37.4840840338436
서울 강남구 수서동 716,PM9,약국,"의료,건강 > 약국",,1130024888,,수서홍약국,http://place.map.kakao.com/1130024888,서울 강남구 광평로 295,127.1037832447862,37.4884023940308
서울 강남구 수서동 714,PM9,약국,"의료,건강 > 약국",,20996098,02-3412-7430,수서옵티마약국,http://place.map.kakao.com/20996098,서울 강남구 광평로51길 8,127.10245330327885,37.48824587849679
서울 강남구 일원동 716,PM9,약국,"의료,건강 > 약국",,9880742,02-2226-1141,SMP온누리약국,http://place.map.kakao.com/9880742,서울 강남구 광평로19길 15,127.085342535179,37.4846185044591
서울 강남구 수서동 754,PM9,약국,"의료,건강 > 약국",,597850418,02-451-9111,튼튼약국,http://place.map.kakao.com/597850418,서울 강남구 광평로 196,127.09426047841625,37.484034179962364
서울 강남구 수서동 728,PM9,약국,"의료,건강 > 약국",,53195335,02-3412-5533,수서역약국,http://place.map.kakao.com/53195335,서울 강남구 광평로 지하 270,127.101858510883,37.4873877325332
서울 강남구 수서동 714-4,PM9,약국,"의료,건강 > 약국",,713423064,02-3411-9464,수서세종약국,http://place.map.kakao.com/713423064,서울 강남구 광평로51길 6-11,127.10323046553,37.4885064941828
서울 강남구 수서동 715,PM9,약국,"의료,건강 > 약국",,22645042,02-6181-3933,기쁨주는약국,http://place.map.kakao.com/22645042,서울 강남구 광평로 281,127.10281819644322,37.48800589349428
서울 강남구 수서동 707,PM9,약국,"의료,건강 > 약국",,8824740,02-459-1445,국송약국,http://place.map.kakao.com/8824740,서울 강남구 광평로51길 49,127.10110365403165,37.490241871565566
서울 강남구 신사동 597-4,PM9,약국,"의료,건강 > 약국",,17232162,02-547-7585,메디팜압구정약국,http://place.map.kakao.com/17232162,서울 강남구 논현로160길 13,127.029122635632,37.5227654797365
서울 강남구 도곡동 425-1,PM9,약국,"의료,건강 > 약국",,1049245973,02-6407-7656,도곡약국,http://place.map.kakao.com/1049245973,서울 강남구 논현로28길 2,127.04333686972117,37.48203386022502
