address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 강서구 화곡동 898-1,PM9,약국,"의료,건강 > 약국",,16332643,02-2694-9228,나라온누리약국,http://place.map.kakao.com/16332643,서울 강서구 강서로 27,126.84727050776986,37.53040181185566
서울 강서구 화곡동 342-58,PM9,약국,"의료,건강 > 약국",,16044270,02-2602-5884,감초약국,http://place.map.kakao.com/16044270,서울 강서구 강서로 38,126.847292372285,37.5313307717192
서울 강서구 내발산동 668,PM9,약국,"의료,건강 > 약국",,1512748088,02-2661-6123,코리아약국,http://place.map.kakao.com/1512748088,서울 강서구 강서로 323,126.83645473035772,37.55476384806392
서울 강서구 마곡동 794-1,PM9,약국,"의료,건강 > 약국",,1391793443,02-3664-0319,마곡하나약국,http://place.map.kakao.com/1391793443,서울 강서구 강서로 385,126.83843272320242,37.56012479690402
서울 강서구 내발산동 654,PM9,약국,"의료,건강 > 약국",,1545484270,02-2661-7111,이대1번약국,http://place.map.kakao.com/1545484270,서울 강서구 강서로 357,126.83735337875115,37.55786001260061
서울 강서구 화곡동 1032-27,PM9,약국,"의료,건강 > 약국",,16651435,02-2693-1044,화곡태평양약국,http://place.map.kakao.com/16651435,서울 강서구 강서로 205,126.83762410923123,37.54418774996035
서울 강서구 내발산동 723-4,PM9,약국,"의료,건강 > 약국",,8731988,02-2606-8268,강서종로약국,http://place.map.kakao.com/8731988,서울 강서구 강서로 257,126.83603578105,37.548661713591
서울 강서구 화곡동 925-7,PM9,약국,"의료,건강 > 약국",,16677691,02-2602-0856,일심당약국,http://place.map.kakao.com/16677691,서울 강서구 강서로7길 90,126.84271584813742,37.52924255294069
서울 강서구 등촌동 682,PM9,약국,"의료,건강 > 약국",,1086584865,02-3662-3335,라파엘약국,http://place.map.kakao.com/1086584865,서울 강서구 강서로 460,126.84103630273898,37.56631366552444
서울 강서구 등촌동 674,PM9,약국,"의료,건강 > 약국",,9839904,02-3663-7510,발산그랜드약국,http://place.map.kakao.com/9839904,서울 강서구 강서로 380,126.838941117423,37.5594992992566
서울 강서구 화곡동 340-5,PM9,약국,"의료,건강 > 약국",,1528144217,02-2694-7732,까치산메가약국,http://place.map.kakao.com/1528144217,서울 강서구 강서로18길 26,126.8471502809,37.5338768147636
서울 강서구 내발산동 723-2,PM9,약국,"의료,건강 > 약국",,730007139,02-2601-4308,평화약국,http://place.map.kakao.com/730007139,서울 강서구 강서로 259,126.835997975452,37.5488724945522
서울 강서구 마곡동 776-6,PM9,약국,"의료,건강 > 약국",,1420153283,02-2659-6470,마곡새봄약국,http://place.map.kakao.com/1420153283,서울 강서구 강서로 463,126.84037846828774,37.566938969488916
