address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 금천구 가산동 151-30,PM9,약국,"의료,건강 > 약국",,18099635,02-838-1158,가산약국,http://place.map.kakao.com/18099635,서울 금천구 가산로 116,126.893119166429,37.476084649165
서울 금천구 독산동 335-1,PM9,약국,"의료,건강 > 약국",,11122887,02-855-3052,수도약국,http://place.map.kakao.com/11122887,서울 금천구 가산로3길 93,126.89041382057985,37.47219611645862
서울 금천구 가산동 153-1,PM9,약국,"의료,건강 > 약국",,22539974,02-864-3897,천수온누리약국,http://place.map.kakao.com/22539974,서울 금천구 가산로 111,126.892943425215,37.4756484015161
서울 금천구 시흥동 884,PM9,약국,"의료,건강 > 약국",,982017858,070-8888-8801,금천종로약국,http://place.map.kakao.com/982017858,서울 금천구 금하로 634,126.901629675984,37.4546380662309
서울 금천구 시흥동 918-20,PM9,약국,"의료,건강 > 약국",,12084455,02-807-6360,별장약국,http://place.map.kakao.com/12084455,서울 금천구 금하로24길 40,126.90826168194272,37.44915172506937
서울 금천구 시흥동 828-40,PM9,약국,"의료,건강 > 약국",,12040782,02-808-9300,태평양약국,http://place.map.kakao.com/12040782,서울 금천구 금하로25길 1,126.90884453691557,37.45125514141133
서울 금천구 시흥동 828-41,PM9,약국,"의료,건강 > 약국",,16053036,02-803-4973,형제약국,http://place.map.kakao.com/16053036,서울 금천구 금하로 707,126.90872814132929,37.45124604144678
서울 금천구 시흥동 926-13,PM9,약국,"의료,건강 > 약국",,10619342,02-808-3616,고성희온누리약국,http://place.map.kakao.com/10619342,서울 금천구 금하로24길 57,126.90877561166253,37.44845113424502
서울 금천구 시흥동 1013-7,PM9,약국,"의료,건강 > 약국",,9376564,02-803-8982,온누리정운약국,http://place.map.kakao.com/9376564,서울 금천구 금하로 763,126.91458680309373,37.45033589213176
서울 금천구 시흥동 841-55,PM9,약국,"의료,건강 > 약국",,1949815766,02-802-0478,휴베이스 동백약국,http://place.map.kakao.com/1949815766,서울 금천구 금하로 651,126.90332013156969,37.4540258715207
서울 금천구 시흥동 912-20,PM9,약국,"의료,건강 > 약국",,16339427,02-896-6789,에벤에셀온누리약국,http://place.map.kakao.com/16339427,서울 금천구 금하로 720,126.90949752099354,37.45052402041569
서울 금천구 시흥동 1013-7,PM9,약국,"의료,건강 > 약국",,11252877,02-802-2380,백산온누리약국,http://place.map.kakao.com/11252877,서울 금천구 금하로 763,126.914637654584,37.4503404339382
서울 금천구 시흥동 836-35,PM9,약국,"의료,건강 > 약국",,1696236801,02-6497-1234,다해약국,http://place.map.kakao.com/1696236801,서울 금천구 금하로 701,126.9079965545734,37.451550016676876
서울 금천구 시흥동 912-20,PM9,약국,"의료,건강 > 약국",,16691116,02-809-8019,하늘약국,http://place.map.kakao.com/16691116,서울 금천구 금하로 720,126.909456939865,37.4504374920471
서울 금천구 시흥동 830-13,PM9,약국,"의료,건강 > 약국",,16501787,02-808-7911,행복한우리약국,http://place.map.kakao.com/16501787,서울 금천구 금하로 717,126.909659863778,37.4508557175392
서울 금천구 시흥동 911,PM9,약국,"의료,건강 > 약국",,16072602,02-803-7549,광장온누리약국,http://place.map.kakao.com/16072602,서울 금천구 금하로 710,126.90870033083165,37.45088110957735
서울 금천구 시흥동 830,PM9,약국,"의료,건강 > 약국",,16053621,02-805-5011,대한약국,http://place.map.kakao.com/16053621,서울 금천구 금하로 711,126.908985955449,37.4511327125939
서울 금천구 시흥동 1013,PM9,약국,"의료,건강 > 약국",,19149027,02-802-7440,늘사랑온누리약국,http://place.map.kakao.com/19149027,서울 금천구 금하로 816,126.920008723541,37.4497711466195
서울 금천구 독산동 1037-17,PM9,약국,"의료,건강 > 약국",,8850141,02-802-1510,녹수프라자약국,http://place.map.kakao.com/8850141,서울 금천구 독산로 213,126.90179255721299,37.465773807300344
서울 금천구 시흥동 803-3,PM9,약국,"의료,건강 > 약국",,9580657,02-804-6985,한중약국,http://place.map.kakao.com/9580657,서울 금천구 독산로 136,126.905205225694,37.4594659095223
서울 금천구 시흥동 856-23,PM9,약국,"의료,건강 > 약국",,992101839,02-803-9369,신나래약국,http://place.map.kakao.com/992101839,서울 금천구 독산로 137,126.90482183789314,37.45964039769366
서울 금천구 시흥동 802-38,PM9,약국,"의료,건강 > 약국",,10515255,02-802-3077,새보은약국,http://place.map.kakao.com/10515255,서울 금천구 독산로 138,126.90512139457424,37.45961631124987
서울 금천구 독산동 1040-88,PM9,약국,"의료,건강 > 약국",,13502730,02-805-3541,정진약국,http://place.map.kakao.com/13502730,서울 금천구 독산로64길 19,126.90369332274118,37.465308647950266
서울 금천구 독산동 1038-28,PM9,약국,"의료,건강 > 약국",,895503418,02-804-1725,독산메디칼약국,http://place.map.kakao.com/895503418,서울 금천구 독산로 210,126.90222786687198,37.46568677020155
서울 금천구 독산동 960-14,PM9,약국,"의료,건강 > 약국",,7833554,02-839-8197,독산종로약국,http://place.map.kakao.com/7833554,서울 금천구 독산로 360,126.904036590643,37.4788583165243
서울 금천구 독산동 950,PM9,약국,"의료,건강 > 약국",,13512282,02-852-4910,굿모닝약국,http://place.map.kakao.com/13512282,서울 금천구 독산로 366,126.9040638390962,37.47965302856
서울 금천구 시흥동 856-24,PM9,약국,"의료,건강 > 약국",,10520333,02-804-9300,시흥프라자약국,http://place.map.kakao.com/10520333,서울 금천구 독산로 135-1,126.904780206938,37.4594907961686
