address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 동작구 노량진동 334,PM9,약국,"의료,건강 > 약국",,1668360643,02-2254-8275,수산약국,http://place.map.kakao.com/1668360643,서울 동작구 노들로 674,126.93772057063852,37.51479138641713
서울 동작구 대방동 502,PM9,약국,"의료,건강 > 약국",,13510112,02-817-4828,대방약국,http://place.map.kakao.com/13510112,서울 동작구 등용로 127,126.93167081603339,37.512890527537536
서울 동작구 대방동 23-117,PM9,약국,"의료,건강 > 약국",,111794633,02-822-9095,행복약국,http://place.map.kakao.com/111794633,서울 동작구 등용로 115,126.9317558309104,37.511447168120995
서울 동작구 노량진동 267-48,PM9,약국,"의료,건강 > 약국",,9337226,02-813-4550,유성약국,http://place.map.kakao.com/9337226,서울 동작구 등용로14길 65,126.93509160027621,37.512467182950516
서울 동작구 노량진동 123-11,PM9,약국,"의료,건강 > 약국",,520629148,02-815-8868,찬솔약국,http://place.map.kakao.com/520629148,서울 동작구 만양로 86,126.944609474755,37.5112052177958
서울 동작구 노량진동 330,PM9,약국,"의료,건강 > 약국",,9360754,02-826-9848,인화약국,http://place.map.kakao.com/9360754,서울 동작구 만양로 84,126.94475897915393,37.510928679481104
서울 동작구 노량진동 117-18,PM9,약국,"의료,건강 > 약국",,174466684,02-822-2229,이도약국,http://place.map.kakao.com/174466684,서울 동작구 만양로 112,126.9444224141461,37.51331708363372
서울 동작구 상도동 22-108,PM9,약국,"의료,건강 > 약국",,24527968,02-3280-2828,건강약국,http://place.map.kakao.com/24527968,서울 동작구 만양로 5,126.94654775167865,37.50537751105003
서울 동작구 노량진동 135,PM9,약국,"의료,건강 > 약국",,93535247,02-3280-2680,합격약국,http://place.map.kakao.com/93535247,서울 동작구 만양로14길 57,126.94726646967393,37.51263812954184
서울 동작구 노량진동 324,PM9,약국,"의료,건강 > 약국",,16733079,02-827-0965,대영약국,http://place.map.kakao.com/16733079,서울 동작구 만양로 26,126.94843079023404,37.507077643691005
서울 동작구 노량진동 325,PM9,약국,"의료,건강 > 약국",,13513602,02-6267-7575,정다운약국,http://place.map.kakao.com/13513602,서울 동작구 만양로 19,126.94431392119148,37.50710280481969
서울 동작구 노량진동 330,PM9,약국,"의료,건강 > 약국",,1532246611,02-3280-8312,아임약국,http://place.map.kakao.com/1532246611,서울 동작구 만양로 84,126.944944473747,37.5109278650805
서울 동작구 본동 160,PM9,약국,"의료,건강 > 약국",,8253747,02-812-0645,노량진종로약국,http://place.map.kakao.com/8253747,서울 동작구 매봉로 182,126.95239949393702,37.51239793950804
서울 동작구 본동 163-8,PM9,약국,"의료,건강 > 약국",,11854076,02-817-1918,금강약국,http://place.map.kakao.com/11854076,서울 동작구 매봉로 178,126.952186974508,37.5122032367751
서울 동작구 사당동 265-59,PM9,약국,"의료,건강 > 약국",,9060821,02-3474-4170,사당프라자약국,http://place.map.kakao.com/9060821,서울 동작구 사당로 230-1,126.973257994242,37.483309203956
서울 동작구 사당동 147-76,PM9,약국,"의료,건강 > 약국",,16413473,02-595-6969,사랑약국,http://place.map.kakao.com/16413473,서울 동작구 사당로 303,126.98113806262528,37.48539475740376
서울 동작구 사당동 252-17,PM9,약국,"의료,건강 > 약국",,16273828,02-594-5626,밝은미소약국,http://place.map.kakao.com/16273828,서울 동작구 사당로 215,126.97234400974084,37.484458680477616
서울 동작구 사당동 246-8,PM9,약국,"의료,건강 > 약국",,9828629,02-584-5031,복지약국,http://place.map.kakao.com/9828629,서울 동작구 사당로 194,126.969643729879,37.4850995355457
서울 동작구 사당동 150-3,PM9,약국,"의료,건강 > 약국",,705624162,02-535-1738,이수밝은약국,http://place.map.kakao.com/705624162,서울 동작구 사당로 285,126.979182200477,37.4846474930059
서울 동작구 사당동 265-16,PM9,약국,"의료,건강 > 약국",,9496416,02-3477-9477,태평양약국,http://place.map.kakao.com/9496416,서울 동작구 사당로 227,126.97319903981,37.4837596949065
서울 동작구 사당동 252-17,PM9,약국,"의료,건강 > 약국",,562055737,02-599-9297,튼튼약국,http://place.map.kakao.com/562055737,서울 동작구 사당로 215,126.97244583415714,37.48428210660467
서울 동작구 사당동 248-5,PM9,약국,"의료,건강 > 약국",,8466884,02-522-0993,우리들온누리약국,http://place.map.kakao.com/8466884,서울 동작구 사당로 196,126.96995810812456,37.48497077170273
서울 동작구 사당동 175-24,PM9,약국,"의료,건강 > 약국",,16647500,02-532-5384,고은약국,http://place.map.kakao.com/16647500,서울 동작구 사당로23길 185,126.97072373820019,37.49033826845193
서울 동작구 사당동 267-55,PM9,약국,"의료,건강 > 약국",,16296259,02-521-6950,은미약국,http://place.map.kakao.com/16296259,서울 동작구 사당로16길 22,126.973113537787,37.482566739996
서울 동작구 사당동 144-11,PM9,약국,"의료,건강 > 약국",,19676998,02-535-4674,신세계약국,http://place.map.kakao.com/19676998,서울 동작구 사당로 297,126.9804789535585,37.48510632766386
서울 동작구 사당동 147-29,PM9,약국,"의료,건강 > 약국",,1985538208,,이수자이온누리약국,http://place.map.kakao.com/1985538208,서울 동작구 사당로 300,126.98059554556212,37.48459277206572
서울 동작구 사당동 252-17,PM9,약국,"의료,건강 > 약국",,1321153519,02-532-8225,유림온누리약국,http://place.map.kakao.com/1321153519,서울 동작구 사당로 215,126.97232926129321,37.48459382829408
서울 동작구 사당동 265-31,PM9,약국,"의료,건강 > 약국",,26892888,02-584-0072,친절한약국,http://place.map.kakao.com/26892888,서울 동작구 사당로 224,126.972556844396,37.4837199031096
서울 동작구 사당동 300-73,PM9,약국,"의료,건강 > 약국",,9672851,02-584-4780,금성약국,http://place.map.kakao.com/9672851,서울 동작구 사당로16길 68,126.971780080441,37.4807319749053
서울 동작구 상도동 502-1,PM9,약국,"의료,건강 > 약국",,1364227438,02-2088-3043,숭실길약국,http://place.map.kakao.com/1364227438,서울 동작구 상도로67길 31,126.956413640842,37.4950046769274
서울 동작구 상도1동 391,PM9,약국,"의료,건강 > 약국",,926265318,02-812-1322,상도온누리약국,http://place.map.kakao.com/926265318,서울 동작구 상도로 297,126.949597311498,37.5013504559267
서울 동작구 상도동 477-18,PM9,약국,"의료,건강 > 약국",,1902840204,02-401-6599,햇살온누리약국,http://place.map.kakao.com/1902840204,서울 동작구 상도로 345,126.95266997483758,37.49782518906063
서울 동작구 상도동 170-2,PM9,약국,"의료,건강 > 약국",,16875751,02-815-1120,건강온누리약국,http://place.map.kakao.com/16875751,서울 동작구 상도로 202,126.941080943527,37.504950537373
서울 동작구 상도동 324-1,PM9,약국,"의료,건강 > 약국",,8288358,02-822-2682,대우당약국,http://place.map.kakao.com/8288358,서울 동작구 상도로 102,126.93214393679388,37.50003616233915
서울 동작구 상도동 22-113,PM9,약국,"의료,건강 > 약국",,16268840,02-815-8342,성모약국,http://place.map.kakao.com/16268840,서울 동작구 상도로 247,126.94624262568247,37.50504580266397
서울 동작구 대방동 335-17,PM9,약국,"의료,건강 > 약국",,8565322,02-824-5150,파랑새약국,http://place.map.kakao.com/8565322,서울 동작구 상도로 81,126.92958600081738,37.4998742862934
서울 동작구 상도동 170-10,PM9,약국,"의료,건강 > 약국",,16880318,02-814-6220,세계로약국,http://place.map.kakao.com/16880318,서울 동작구 상도로 206,126.94151745026679,37.50501202264192
서울 동작구 대방동 394-7,PM9,약국,"의료,건강 > 약국",,13500630,02-883-9256,윤경약국,http://place.map.kakao.com/13500630,서울 동작구 상도로 65,126.9279438613,37.4999588916356
서울 동작구 상도동 475-6,PM9,약국,"의료,건강 > 약국",,9820304,02-822-0667,상도프라자약국,http://place.map.kakao.com/9820304,서울 동작구 상도로 356,126.952830087327,37.4967746795691
서울 동작구 상도동 193-76,PM9,약국,"의료,건강 > 약국",,8355729,02-813-2149,상도시장약국,http://place.map.kakao.com/8355729,서울 동작구 상도로22길 46,126.93715836207943,37.50134989977977
서울 동작구 상도동 475-9,PM9,약국,"의료,건강 > 약국",,37118925,02-825-5293,새날약국,http://place.map.kakao.com/37118925,서울 동작구 상도로 360,126.95305867580619,37.49652338978961
서울 동작구 대방동 405-8,PM9,약국,"의료,건강 > 약국",,1640271953,02-6956-3233,세화약국,http://place.map.kakao.com/1640271953,서울 동작구 상도로 58,126.926868762701,37.4995662933805
서울 동작구 상도동 32-10,PM9,약국,"의료,건강 > 약국",,1979313289,02-3280-8710,송약국,http://place.map.kakao.com/1979313289,서울 동작구 상도로 246,126.945745216511,37.5047437384896
서울 동작구 대방동 335-15,PM9,약국,"의료,건강 > 약국",,175603607,02-822-1344,메디칼신대방약국,http://place.map.kakao.com/175603607,서울 동작구 상도로 77,126.92932816305323,37.4998678252841
