address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 마포구 신수동 462,PM9,약국,"의료,건강 > 약국",,1225459330,02-6015-0135,신촌숲약국,http://place.map.kakao.com/1225459330,서울 마포구 광성로 17,126.933310634173,37.5513056448623
서울 마포구 신수동 462,PM9,약국,"의료,건강 > 약국",,802592884,070-7545-5249,신촌한우리약국,http://place.map.kakao.com/802592884,서울 마포구 광성로 17,126.933316272456,37.5513281729996
서울 마포구 대흥동 18-1,PM9,약국,"의료,건강 > 약국",,1303137953,02-703-7582,이로운약국,http://place.map.kakao.com/1303137953,서울 마포구 대흥로 171,126.94570934491041,37.554252853937875
서울 마포구 대흥동 2-39,PM9,약국,"의료,건강 > 약국",,9737770,02-715-3133,다나약국,http://place.map.kakao.com/9737770,서울 마포구 대흥로 186-2,126.946070439938,37.5557153385434
서울 마포구 대흥동 2-62,PM9,약국,"의료,건강 > 약국",,1129005590,02-715-3959,대흥약국,http://place.map.kakao.com/1129005590,서울 마포구 대흥로 192-1,126.94612896078,37.5561730719711
서울 마포구 염리동 532,PM9,약국,"의료,건강 > 약국",,1817299245,02-711-3119,마프자서울약국,http://place.map.kakao.com/1817299245,서울 마포구 대흥로24길 24,126.94687316468993,37.55207206742767
서울 마포구 대흥동 18-5,PM9,약국,"의료,건강 > 약국",,1799785613,02-716-0116,산들약국,http://place.map.kakao.com/1799785613,서울 마포구 대흥로 167,126.94573785597792,37.553951933796675
서울 마포구 대흥동 806,PM9,약국,"의료,건강 > 약국",,1115734565,02-707-3682,자이약국,http://place.map.kakao.com/1115734565,서울 마포구 대흥로 183,126.94567736455049,37.554655585197274
서울 마포구 염리동 532,PM9,약국,"의료,건강 > 약국",,1064940833,02-704-5921,튼튼약국,http://place.map.kakao.com/1064940833,서울 마포구 대흥로24길 24,126.9468708629509,37.55212612627543
서울 마포구 용강동 494-26,PM9,약국,"의료,건강 > 약국",,13513392,02-719-7942,해오름약국,http://place.map.kakao.com/13513392,서울 마포구 대흥로 34,126.938547398785,37.5437752361399
서울 마포구 도화동 179-14,PM9,약국,"의료,건강 > 약국",,2109781168,02-712-8988,마포삼성약국,http://place.map.kakao.com/2109781168,서울 마포구 도화길 33,126.94948796689272,37.541097246249244
서울 마포구 도화동 250-1,PM9,약국,"의료,건강 > 약국",,8849126,02-714-5849,대교약국,http://place.map.kakao.com/8849126,서울 마포구 도화길 10,126.947403497751,37.5397934904516
서울 마포구 도화동 195-3,PM9,약국,"의료,건강 > 약국",,8890318,02-702-3852,독일약국,http://place.map.kakao.com/8890318,서울 마포구 도화4길 19,126.95099971856528,37.54102760524142
서울 마포구 도화동 571,PM9,약국,"의료,건강 > 약국",,1339733948,02-6329-7767,하임온누리약국,http://place.map.kakao.com/1339733948,서울 마포구 도화길 43,126.95028983264,37.5416688203392
서울 마포구 도화동 550,PM9,약국,"의료,건강 > 약국",,9656337,02-711-3627,광실약국,http://place.map.kakao.com/9656337,서울 마포구 도화길 32,126.949625068271,37.5408179948855
서울 마포구 도화동 550,PM9,약국,"의료,건강 > 약국",,16587291,02-3273-1997,삼성메디칼약국,http://place.map.kakao.com/16587291,서울 마포구 도화길 32,126.94959336167302,37.54085402134723
