address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 성북구 길음동 530-17,PM9,약국,"의료,건강 > 약국",,11495543,02-915-5777,길음메디칼약국,http://place.map.kakao.com/11495543,서울 성북구 길음로 2,127.02478757897856,37.60431204792914
서울 성북구 길음동 1286-10,PM9,약국,"의료,건강 > 약국",,11495538,02-909-0928,신세원약국,http://place.map.kakao.com/11495538,서울 성북구 길음로7길 6,127.0224297783473,37.60434225225831
서울 성북구 길음동 1286,PM9,약국,"의료,건강 > 약국",,13617529,070-4402-4565,길음시장약국,http://place.map.kakao.com/13617529,서울 성북구 길음로9길 50,127.01956537371733,37.60289847449362
서울 성북구 길음동 1283-4,PM9,약국,"의료,건강 > 약국",,1304309579,02-911-4326,이화약국,http://place.map.kakao.com/1304309579,서울 성북구 길음로 20,127.023039176258,37.60475388735
서울 성북구 길음동 1285,PM9,약국,"의료,건강 > 약국",,13508876,02-914-7773,웰팜약국,http://place.map.kakao.com/13508876,서울 성북구 길음로13길 22,127.01963281887846,37.60960633278183
서울 성북구 길음동 1284-19,PM9,약국,"의료,건강 > 약국",,245622854,02-3292-1734,햇님약국,http://place.map.kakao.com/245622854,서울 성북구 길음로 33,127.02208916081668,37.60521177192829
서울 성북구 길음동 1283-4,PM9,약국,"의료,건강 > 약국",,155519920,02-913-9270,선한약국,http://place.map.kakao.com/155519920,서울 성북구 길음로 20,127.023034647449,37.6047574921944
서울 성북구 길음동 1284-17,PM9,약국,"의료,건강 > 약국",,13512356,02-912-5148,아름다운약국,http://place.map.kakao.com/13512356,서울 성북구 길음로 33,127.02141234292779,37.60663996566421
서울 성북구 길음동 1284,PM9,약국,"의료,건강 > 약국",,1945190684,,신삼성약국,http://place.map.kakao.com/1945190684,서울 성북구 길음로 33,127.02156069896373,37.6066309287562
서울 성북구 길음동 864-18,PM9,약국,"의료,건강 > 약국",,1454896904,02-980-5350,한강약국,http://place.map.kakao.com/1454896904,서울 성북구 도봉로 3,127.02985285986655,37.60929695268018
서울 성북구 동선동1가 79,PM9,약국,"의료,건강 > 약국",,21965683,02-927-8253,행복한약국,http://place.map.kakao.com/21965683,서울 성북구 보문로34길 59,127.018600975539,37.5910632090045
서울 성북구 보문동5가 3-1,PM9,약국,"의료,건강 > 약국",,10857570,02-923-2393,청십자약국,http://place.map.kakao.com/10857570,서울 성북구 보문로 99,127.019835526422,37.5839379575106
서울 성북구 보문동4가 8,PM9,약국,"의료,건강 > 약국",,13506885,02-929-2954,새봄약국,http://place.map.kakao.com/13506885,서울 성북구 보문로 94,127.02060533682,37.5837143793075
서울 성북구 보문동2가 104,PM9,약국,"의료,건강 > 약국",,13510607,02-921-3844,보문약국,http://place.map.kakao.com/13510607,서울 성북구 보문로 123,127.01873784157421,37.58599240116536
서울 성북구 삼선동5가 272,PM9,약국,"의료,건강 > 약국",,8027257,02-928-8911,맑은샘온누리약국,http://place.map.kakao.com/8027257,서울 성북구 보문로 157,127.01691329315625,37.58842896116076
서울 성북구 보문동5가 6,PM9,약국,"의료,건강 > 약국",,11495593,02-928-8663,옵티마시민약국,http://place.map.kakao.com/11495593,서울 성북구 보문로 93,127.0200573291735,37.5835595028446
