address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
서울 양천구 목동 792-4,PM9,약국,"의료,건강 > 약국",,16876306,02-2648-1858,365새누리약국,http://place.map.kakao.com/16876306,서울 양천구 등촌로 32,126.86401915091385,37.53285228272973
서울 양천구 목동 792-4,PM9,약국,"의료,건강 > 약국",,27584990,02-2649-0998,코코약국,http://place.map.kakao.com/27584990,서울 양천구 등촌로 32,126.86402811205988,37.53290184807161
서울 양천구 목동 792-4,PM9,약국,"의료,건강 > 약국",,133758243,02-2062-0799,밝은약국,http://place.map.kakao.com/133758243,서울 양천구 등촌로 32,126.86406322929176,37.5328775614872
서울 양천구 목동 614-13,PM9,약국,"의료,건강 > 약국",,16906128,02-2643-5511,무지개약국,http://place.map.kakao.com/16906128,서울 양천구 등촌로 214,126.863720030804,37.548632038482
서울 양천구 목동 606-14,PM9,약국,"의료,건강 > 약국",,1783718366,02-6951-1129,올리브약국,http://place.map.kakao.com/1783718366,서울 양천구 등촌로 230,126.86419040930805,37.55008859306262
서울 양천구 목동 793-6,PM9,약국,"의료,건강 > 약국",,294315997,02-2654-5430,홍익사랑약국,http://place.map.kakao.com/294315997,서울 양천구 등촌로 20,126.864187654352,37.5316451359136
서울 양천구 목동 613-9,PM9,약국,"의료,건강 > 약국",,754937739,02-2648-8876,보미진온누리약국,http://place.map.kakao.com/754937739,서울 양천구 등촌로 224,126.8640306709325,37.54956222648647
서울 양천구 목동 650-1,PM9,약국,"의료,건강 > 약국",,262075179,,봄약국,http://place.map.kakao.com/262075179,서울 양천구 등촌로 188,126.863069956871,37.5464409598267
서울 양천구 목동 792-4,PM9,약국,"의료,건강 > 약국",,996454041,02-2648-9997,하루약국,http://place.map.kakao.com/996454041,서울 양천구 등촌로 32,126.864165037985,37.5328866886359
서울 양천구 신정동 898-11,PM9,약국,"의료,건강 > 약국",,26138126,02-2692-0422,홍일태평양약국,http://place.map.kakao.com/26138126,서울 양천구 목동로 229,126.86363576054165,37.529040607575936
서울 양천구 신정동 896-9,PM9,약국,"의료,건강 > 약국",,16651072,02-2692-8880,목동건강약국,http://place.map.kakao.com/16651072,서울 양천구 목동로27길 6,126.86327674545684,37.52863023701981
서울 양천구 신정동 895-16,PM9,약국,"의료,건강 > 약국",,13513674,02-2652-8343,종로프라자약국,http://place.map.kakao.com/13513674,서울 양천구 목동로27길 5,126.86326795799512,37.52848606667202
서울 양천구 목동 810-1,PM9,약국,"의료,건강 > 약국",,16846806,02-2644-3903,목동즐거운약국,http://place.map.kakao.com/16846806,서울 양천구 목동로 210,126.864415089359,37.5272539185405
서울 양천구 신정동 900-16,PM9,약국,"의료,건강 > 약국",,16930866,02-2690-1965,한성약국,http://place.map.kakao.com/16930866,서울 양천구 목동로 201,126.86393233125575,37.52646048214225
서울 양천구 신정동 899-7,PM9,약국,"의료,건강 > 약국",,16622077,02-2601-8557,오렌지라임약국,http://place.map.kakao.com/16622077,서울 양천구 목동로 223,126.863743443035,37.5283055149825
서울 양천구 신정동 900-10,PM9,약국,"의료,건강 > 약국",,1257418603,02-2065-6775,목동4층약국,http://place.map.kakao.com/1257418603,서울 양천구 목동로 203,126.863806310627,37.5267063102677
서울 양천구 신정동 995-1,PM9,약국,"의료,건강 > 약국",,23103553,02-2691-2849,온누리유미숙약국,http://place.map.kakao.com/23103553,서울 양천구 목동로 185,126.864179362813,37.5249867279829
서울 양천구 신정동 276,PM9,약국,"의료,건강 > 약국",,13511123,02-2642-8851,엘림약국,http://place.map.kakao.com/13511123,서울 양천구 목동로3길 57,126.86320030387083,37.509773967771245
서울 양천구 신정동 128-113,PM9,약국,"의료,건강 > 약국",,20198550,02-2655-2388,새열린약국,http://place.map.kakao.com/20198550,서울 양천구 신목로 34,126.873959678561,37.5186581187315
서울 양천구 신정동 117-1,PM9,약국,"의료,건강 > 약국",,16797071,02-2643-7557,중앙제일약국,http://place.map.kakao.com/16797071,서울 양천구 신목로 84,126.874573668604,37.522179889875
서울 양천구 신정동 118-20,PM9,약국,"의료,건강 > 약국",,9094647,02-2646-5776,삼주약국,http://place.map.kakao.com/9094647,서울 양천구 신목로 86,126.87474199265276,37.52231702083694
서울 양천구 신정동 128-105,PM9,약국,"의료,건강 > 약국",,16268521,02-2649-8275,메디팜신정교약국,http://place.map.kakao.com/16268521,서울 양천구 신목로 36,126.87374112496425,37.51879844172555
서울 양천구 목동 404-156,PM9,약국,"의료,건강 > 약국",,1407686113,02-2644-8018,자연약국,http://place.map.kakao.com/1407686113,서울 양천구 신목로 102,126.8756743002488,37.52357670578522
서울 양천구 목동 404-87,PM9,약국,"의료,건강 > 약국",,16592353,02-2644-5953,상마약국,http://place.map.kakao.com/16592353,서울 양천구 신목로 100-6,126.875870515413,37.5232696704894
서울 양천구 신정동 114-12,PM9,약국,"의료,건강 > 약국",,22211973,02-2646-7218,신정하나약국,http://place.map.kakao.com/22211973,서울 양천구 신목로 33,126.873611641384,37.5184415061681
서울 양천구 신정동 1028-2,PM9,약국,"의료,건강 > 약국",,9546205,02-2652-9007,태평양온누리약국,http://place.map.kakao.com/9546205,서울 양천구 신월로 314,126.855878478812,37.5212539506586
서울 양천구 신정동 1191-11,PM9,약국,"의료,건강 > 약국",,1596648348,02-2693-3650,매일열린약국,http://place.map.kakao.com/1596648348,서울 양천구 신월로 280,126.85182796605434,37.5210660351878
서울 양천구 신월동 575-2,PM9,약국,"의료,건강 > 약국",,13502809,02-2693-3022,백십자약국,http://place.map.kakao.com/13502809,서울 양천구 신월로 172,126.84265735180921,37.51831062255148
서울 양천구 신월동 536-6,PM9,약국,"의료,건강 > 약국",,2070180061,02-6956-0980,라온온누리약국,http://place.map.kakao.com/2070180061,서울 양천구 신월로 179,126.842993811684,37.5191508045086
서울 양천구 신월동 550-3,PM9,약국,"의료,건강 > 약국",,13500762,02-2696-1004,유명약국,http://place.map.kakao.com/13500762,서울 양천구 신월로 164,126.8419706465872,37.517814154415035
서울 양천구 신월동 575-1,PM9,약국,"의료,건강 > 약국",,1759947532,02-6448-1303,목동센트럴약국,http://place.map.kakao.com/1759947532,서울 양천구 신월로 170,126.84240987797925,37.51819045930355
서울 양천구 신정동 1026-1,PM9,약국,"의료,건강 > 약국",,1093545760,02-2642-8283,양천그린약국,http://place.map.kakao.com/1093545760,서울 양천구 신월로 338,126.858531779853,37.521535568174
서울 양천구 신정동 978-17,PM9,약국,"의료,건강 > 약국",,1080165679,02-6958-5997,양천제일약국,http://place.map.kakao.com/1080165679,서울 양천구 신월로 327,126.857431562513,37.5218883390526
서울 양천구 신정동 1190-2,PM9,약국,"의료,건강 > 약국",,16653133,02-2699-8787,새무지개약국,http://place.map.kakao.com/16653133,서울 양천구 신월로 282,126.85215827590773,37.52106825111385
서울 양천구 신월동 544-9,PM9,약국,"의료,건강 > 약국",,16051889,02-2697-5065,내외약국,http://place.map.kakao.com/16051889,서울 양천구 신월로 165,126.8417514611462,37.51822652008551
서울 양천구 신월동 558-7,PM9,약국,"의료,건강 > 약국",,1667278117,02-2603-2133,경민약국,http://place.map.kakao.com/1667278117,서울 양천구 신월로10길 16,126.84070494588,37.5156518498143
서울 양천구 신월동 535-4,PM9,약국,"의료,건강 > 약국",,16556169,02-2695-6625,이준약국,http://place.map.kakao.com/16556169,서울 양천구 신월로 187,126.843682674247,37.5197067356116
서울 양천구 신월동 550-5,PM9,약국,"의료,건강 > 약국",,13500528,02-2605-3085,조일약국,http://place.map.kakao.com/13500528,서울 양천구 신월로 168,126.84215683262644,37.518030643974186
서울 양천구 신월동 550-5,PM9,약국,"의료,건강 > 약국",,173587660,02-2605-3085,아빠약국,http://place.map.kakao.com/173587660,서울 양천구 신월로 168,126.842247323847,37.5180316658723
서울 양천구 신정동 1028-2,PM9,약국,"의료,건강 > 약국",,233344812,,로체사랑약국,http://place.map.kakao.com/233344812,서울 양천구 신월로 314,126.855864918117,37.5212467260935
서울 양천구 신정동 1267,PM9,약국,"의료,건강 > 약국",,15928302,02-2607-7946,신세계약국,http://place.map.kakao.com/15928302,서울 양천구 신정로 312,126.85550799411813,37.513339990984555
서울 양천구 신정동 1259,PM9,약국,"의료,건강 > 약국",,9261129,02-2696-9888,온누리은혜약국,http://place.map.kakao.com/9261129,서울 양천구 신정로 293,126.85363533211094,37.513117840533084
서울 양천구 신정동 1293,PM9,약국,"의료,건강 > 약국",,9295910,02-2066-8158,학마을온누리약국,http://place.map.kakao.com/9295910,서울 양천구 신정로14길 6,126.84404816413898,37.5087798534506
서울 양천구 신정동 1267,PM9,약국,"의료,건강 > 약국",,1798988436,02-2606-1046,신트리약국,http://place.map.kakao.com/1798988436,서울 양천구 신정로 312,126.855502460242,37.5132769139878
서울 양천구 신정동 1284-2,PM9,약국,"의료,건강 > 약국",,16051922,02-2687-9416,동일프라자약국,http://place.map.kakao.com/16051922,서울 양천구 신정로7길 60-5,126.8380942292145,37.512540740591916
